t,ref_c,humidity,dmm_c,r_ohm
1689596671.350132,23.335,55.69,36.9331,1.900055197E+05
1689596672.7686846,23.334,55.688,37.3173,1.900009974E+05
1689596674.1871161,23.326,55.677,37.3172,1.900002309E+05
1689596675.6054714,23.324,55.674,37.3168,1.900003331E+05
1689596677.023882,23.332,55.678,37.3162,1.900001849E+05
1689596678.4424107,23.323,55.673,37.3163,1.900002293E+05
1689596679.8607652,23.33,55.674,37.3158,1.899999414E+05
1689596681.2792537,23.329,55.665,37.3153,1.900000264E+05
1689596682.697906,23.327,55.662,37.3154,1.900001889E+05
1689596684.1162448,23.335,55.664,37.3148,1.900001895E+05
1689596685.5346675,23.329,55.663,37.3131,1.900001432E+05
1689596686.9530885,23.337,55.663,37.3123,1.900000837E+05
1689596688.37189,23.335,55.652,37.3118,1.900002201E+05
1689596689.7902844,23.326,55.649,37.311,1.900000864E+05
1689596691.2086039,23.332,55.652,37.3099,1.899995582E+05
1689596692.627045,23.329,55.647,37.3082,1.899998287E+05
1689596694.0456228,23.326,55.638,37.3067,1.899997765E+05
1689596695.4638584,23.332,55.648,37.3052,1.900000453E+05
1689596696.882408,23.332,55.636,37.304,1.899999484E+05
1689596698.30089,23.337,55.641,37.3023,1.899999589E+05
1689596699.7194169,23.33,55.641,37.3007,1.899997178E+05
1689596701.138025,23.332,55.628,37.298,1.899997369E+05
1689596702.5563364,23.33,55.629,37.2958,1.900000014E+05
1689596703.97471,23.341,55.619,37.2947,1.899995760E+05
1689596705.3931794,23.334,55.619,37.2921,1.900000030E+05
1689596706.8117585,23.335,55.625,37.2907,1.899995607E+05
1689596708.2301018,23.338,55.618,37.2878,1.899997396E+05
1689596709.648679,23.33,55.619,37.2862,1.899995758E+05
1689596711.0668552,23.334,55.619,37.2838,1.899996008E+05
1689596712.4855232,23.332,55.613,37.2815,1.899998892E+05
1689596713.9039578,23.335,55.615,37.2793,1.900001002E+05
1689596715.3225887,23.334,55.606,37.277,1.900000256E+05
1689596716.7410488,23.335,55.606,37.2744,1.900000267E+05
1689596718.159338,23.337,55.603,37.2726,1.899993107E+05
1689596719.5776305,23.33,55.606,37.2698,1.899996694E+05
1689596720.9962363,23.33,55.598,37.2679,1.899993277E+05
1689596722.4146626,23.335,55.596,37.2656,1.899994391E+05
1689596723.832976,23.338,55.601,37.2633,1.899991886E+05
1689596725.2515323,23.338,55.605,37.2608,1.899995981E+05
1689596726.669937,23.337,55.592,37.2588,1.899992760E+05
1689596728.0884697,23.335,55.591,37.2561,1.899996029E+05
1689596729.5068681,23.335,55.592,37.2543,1.899993632E+05
1689596730.9253693,23.334,55.588,37.2521,1.899995257E+05
1689596732.3439245,23.329,55.589,37.2498,1.899991848E+05
1689596733.7626214,23.329,55.599,37.2475,1.899993885E+05
1689596735.1807652,23.338,55.593,37.2453,1.899996228E+05
1689596736.5994163,23.338,55.588,37.2432,1.900000956E+05
1689596738.017735,23.332,55.587,37.2413,1.899995335E+05
1689596739.4361374,23.334,55.586,37.2389,1.899995400E+05
1689596740.8546765,23.335,55.582,37.2368,1.899996439E+05
1689596742.273155,23.337,55.586,37.2345,1.899995144E+05
1689596743.6916697,23.34,55.583,37.2321,1.899996158E+05
1689596745.1098883,23.338,55.582,37.2308,1.899993697E+05
1689596746.5283947,23.332,55.586,37.2283,1.899999390E+05
1689596747.9469347,23.327,55.578,37.226,1.899995295E+05
1689596749.365298,23.335,55.574,37.2248,1.899999228E+05
1689596750.7838292,23.338,55.58,37.2219,1.899999406E+05
1689596752.2025034,23.343,55.582,37.2201,1.899996479E+05
1689596753.6207695,23.337,55.578,37.2178,1.899996129E+05
1689596755.0392084,23.329,55.568,37.2165,1.899992187E+05
1689596756.457618,23.329,55.57,37.2148,1.899995029E+05
1689596757.8761067,23.332,55.576,37.2121,1.899997568E+05
1689596759.2946646,23.338,55.57,37.2105,1.900000595E+05
1689596760.7130935,23.33,55.568,37.2084,1.899997291E+05
1689596762.131795,23.335,55.575,37.2074,1.900000905E+05
1689596763.5500526,23.337,55.566,37.2054,1.900000695E+05
1689596764.9685915,23.332,55.563,37.2032,1.899999847E+05
1689596766.3869696,23.33,55.565,37.202,1.900000840E+05
1689596767.8053071,23.337,55.559,37.2007,1.900002115E+05
1689596769.2237718,23.347,55.563,37.1986,1.900000450E+05
1689596770.6422684,23.34,55.564,37.1968,1.900001879E+05
1689596772.0607622,23.337,55.56,37.1955,1.900001814E+05
1689596773.4790568,23.332,55.566,37.1939,1.900002010E+05
1689596774.8975873,23.341,55.562,37.1924,1.900004663E+05
1689596776.3161135,23.337,55.566,37.1904,1.899997116E+05
1689596777.7345345,23.337,55.563,37.1897,1.899998841E+05
1689596779.1529853,23.337,55.555,37.1875,1.900001610E+05
1689596780.5716264,23.338,55.564,37.1864,1.900003765E+05
1689596781.9901767,23.337,55.559,37.1851,1.899996654E+05
1689596783.4081028,23.338,55.56,37.1836,1.899996621E+05
1689596784.8268838,23.332,55.554,37.1822,1.900001887E+05
1689596786.2452762,23.341,55.562,37.1805,1.899997808E+05
1689596787.6638744,23.337,55.557,37.1792,1.899997377E+05
1689596789.0822072,23.344,55.567,37.1778,1.899998615E+05
1689596790.5005658,23.338,55.554,37.1767,1.899996457E+05
1689596791.9193394,23.338,55.553,37.1757,1.899995817E+05
1689596793.3376188,23.34,55.557,37.1739,1.899995497E+05
1689596794.7560527,23.34,55.564,37.1728,1.899997439E+05
1689596796.1744685,23.334,55.554,37.1715,1.899997722E+05
1689596797.5932674,23.337,55.558,37.1706,1.900000386E+05
1689596799.0112433,23.332,55.559,37.1695,1.899997450E+05
1689596800.4297092,23.344,55.557,37.1687,1.899995392E+05
1689596801.8486533,23.341,55.553,37.1671,1.899994848E+05
1689596803.2668185,23.343,55.551,37.166,1.899993901E+05
1689596804.685132,23.344,55.555,37.1644,1.899995354E+05
1689596806.1035433,23.34,55.551,37.1635,1.899998201E+05
1689596807.5220306,23.337,55.547,37.1624,1.899997864E+05
1689596808.9406228,23.332,55.546,37.1608,1.899998968E+05
1689596810.3590972,23.34,55.552,37.1603,1.899997404E+05
1689596811.7773764,23.344,55.55,37.1589,1.899996194E+05
1689596813.1960528,23.344,55.549,37.1574,1.899995343E+05
1689596814.6143188,23.332,55.543,37.1568,1.899996963E+05
1689596816.0327575,23.337,55.547,37.1558,1.899995252E+05
1689596817.4513235,23.337,55.542,37.1552,1.899998443E+05
1689596818.8701813,23.34,55.542,37.1535,1.899998330E+05
1689596820.2880023,23.34,55.549,37.1527,1.899995610E+05
1689596821.7065952,23.34,55.547,37.1517,1.899995357E+05
1689596823.1250792,23.34,55.544,37.151,1.899994595E+05
1689596824.5433807,23.338,55.55,37.1492,1.899995707E+05
1689596825.9619539,23.338,55.547,37.1491,1.899991846E+05
1689596827.3805017,23.33,55.546,37.1478,1.899995653E+05
1689596828.7987688,23.341,55.555,37.1467,1.899993350E+05
1689596830.2174914,23.341,55.552,37.1458,1.899991415E+05
1689596831.635965,23.341,55.547,37.1449,1.899993670E+05
1689596833.0548313,23.338,55.549,37.1445,1.899993616E+05
1689596834.4726286,23.337,55.542,37.1434,1.899993309E+05
1689596835.8911989,23.332,55.541,37.1425,1.899993904E+05
1689596837.3095865,23.338,55.543,37.1419,1.899990893E+05
1689596838.727992,23.332,55.544,37.141,1.899994676E+05
1689596840.1466186,23.346,55.544,37.1406,1.899992650E+05
1689596841.5652122,23.33,55.546,37.1393,1.899998459E+05
1689596842.983285,23.338,55.551,37.1391,1.899992753E+05
1689596844.4018054,23.34,55.545,37.1377,1.899992502E+05
1689596845.820442,23.343,55.546,37.1368,1.899992465E+05
1689596847.2391412,23.343,55.543,37.1354,1.899994835E+05
1689596848.6573184,23.341,55.542,37.135,1.899994262E+05
1689596850.0758908,23.335,55.54,37.1344,1.899993845E+05
1689596851.4943786,23.337,55.549,37.1333,1.899993325E+05
1689596852.9127932,23.337,55.553,37.1326,1.899991361E+05
1689596854.3311677,23.343,55.553,37.1319,1.899997891E+05
1689596855.7496524,23.34,55.547,37.1308,1.899993710E+05
1689596857.1679704,23.344,55.543,37.1306,1.900001069E+05
1689596858.5865965,23.343,55.543,37.13,1.899995758E+05
