t,ref_c,humidity,dmm_c,r_ohm
1689543615.7510028,24.803,54.9,38.2028,2.000108937E+02
1689543617.1696389,24.794,54.862,38.2028,2.000109986E+02
1689543618.5878217,24.804,54.836,38.2025,2.000109695E+02
1689543620.0063353,24.806,54.819,38.2025,2.000108716E+02
1689543621.4248445,24.794,54.802,38.2025,2.000109485E+02
1689543622.8433864,24.798,54.8,38.2025,2.000108733E+02
1689543624.2618463,24.797,54.796,38.2018,2.000108785E+02
1689543625.6803727,24.795,54.806,38.2018,2.000109746E+02
1689543627.098687,24.794,54.81,38.2018,2.000109501E+02
1689543628.5172842,24.794,54.817,38.2018,2.000108942E+02
1689543629.9359648,24.795,54.838,38.2009,2.000108768E+02
1689543631.3540454,24.795,54.849,38.2009,2.000108960E+02
1689543632.7725787,24.801,54.864,38.2009,2.000108681E+02
1689543634.1910832,24.804,54.877,38.2009,2.000109660E+02
1689543635.6095345,24.804,54.897,38.2007,2.000109522E+02
1689543637.027865,24.801,54.92,38.2007,2.000109015E+02
1689543638.4465098,24.8,54.937,38.2007,2.000109102E+02
1689543639.864888,24.798,54.964,38.2007,2.000108805E+02
1689543641.2834423,24.792,54.985,38.2001,2.000109834E+02
1689543642.7018158,24.795,54.995,38.2001,2.000109082E+02
1689543644.120252,24.797,55.026,38.2001,2.000109257E+02
1689543645.538761,24.794,55.045,38.2001,2.000109676E+02
1689543646.957265,24.794,55.067,38.1997,2.000110009E+02
1689543648.3755827,24.795,55.079,38.1997,2.000109694E+02
1689543649.794215,24.798,55.095,38.1997,2.000109817E+02
1689543651.2126122,24.8,55.122,38.1997,2.000109992E+02
1689543652.631096,24.794,55.133,38.1988,2.000109387E+02
1689543654.0496871,24.798,55.153,38.1988,2.000110034E+02
1689543655.4679828,24.798,55.167,38.1988,2.000109544E+02
1689543656.8865097,24.798,55.182,38.1988,2.000109422E+02
1689543658.305015,24.792,55.203,38.1987,2.000109309E+02
1689543659.7234573,24.8,55.218,38.1987,2.000109816E+02
1689543661.14205,24.794,55.238,38.1987,2.000109571E+02
1689543662.5603783,24.795,55.25,38.1987,2.000108994E+02
1689543663.9789104,24.788,55.261,38.1982,2.000109004E+02
1689543665.3974059,24.789,55.271,38.1982,2.000109896E+02
1689543666.8157597,24.792,55.29,38.1982,2.000108462E+02
1689543668.2341635,24.792,55.293,38.1982,2.000109232E+02
1689543669.6527083,24.8,55.309,38.1978,2.000109028E+02
1689543671.0713236,24.795,55.322,38.1978,2.000110445E+02
1689543672.4895263,24.794,55.329,38.1978,2.000110217E+02
1689543673.9080408,24.788,55.347,38.1978,2.000110077E+02
1689543675.3265939,24.794,55.357,38.1973,2.000110038E+02
1689543676.7453578,24.792,55.362,38.1973,2.000111227E+02
1689543678.16349,24.788,55.371,38.1973,2.000108936E+02
1689543679.5818899,24.798,55.383,38.1973,2.000108884E+02
1689543681.000391,24.794,55.396,38.1964,2.000109181E+02
1689543682.4189265,24.789,55.398,38.1964,2.000110335E+02
1689543683.8372915,24.781,55.407,38.1964,2.000109898E+02
1689543685.2558036,24.789,55.418,38.1964,2.000110143E+02
1689543686.6742387,24.801,55.423,38.1956,2.000110019E+02
1689543688.0928304,24.783,55.426,38.1956,2.000110263E+02
1689543689.511098,24.789,55.44,38.1956,2.000110910E+02
1689543690.9296231,24.784,55.447,38.1956,2.000110438E+02
1689543692.3481026,24.791,55.453,38.1948,2.000109760E+02
1689543693.76662,24.791,55.457,38.1948,2.000110949E+02
1689543695.1849432,24.791,55.468,38.1948,2.000110390E+02
1689543696.6035056,24.791,55.472,38.1948,2.000109340E+02
1689543698.0219884,24.792,55.471,38.1932,2.000110012E+02
1689543699.4404848,24.788,55.481,38.1932,2.000110256E+02
1689543700.8590095,24.791,55.49,38.1932,2.000110956E+02
1689543702.2773378,24.788,55.489,38.1932,2.000110624E+02
