t,ref_c,humidity,dmm_c,r_ohm
1689455731.1652744,24.76,55.861,38.3429,1.000008003E+03
1689455732.5837922,24.76,55.863,38.3429,1.000008122E+03
1689455734.0020943,24.76,55.855,38.3411,1.000007999E+03
1689455735.420624,24.755,55.855,38.3411,1.000007859E+03
1689455736.839219,24.761,55.858,38.3411,1.000007986E+03
1689455738.2580128,24.76,55.857,38.3411,1.000008079E+03
1689455739.6761236,24.76,55.856,38.34,1.000008192E+03
1689455741.0945625,24.76,55.859,38.34,1.000008152E+03
1689455742.5129485,24.757,55.861,38.34,1.000008021E+03
1689455743.931681,24.761,55.852,38.34,1.000008059E+03
1689455745.3500123,24.755,55.857,38.3391,1.000008182E+03
1689455746.7685413,24.765,55.859,38.3391,1.000008007E+03
1689455748.1868496,24.768,55.861,38.3391,1.000007913E+03
1689455749.6055243,24.763,55.859,38.3391,1.000008068E+03
1689455751.023861,24.761,55.857,38.3377,1.000007975E+03
1689455752.442385,24.76,55.858,38.3377,1.000008076E+03
1689455753.8607376,24.768,55.86,38.3377,1.000008116E+03
1689455755.2792122,24.757,55.85,38.3377,1.000008221E+03
1689455756.6975718,24.757,55.856,38.3369,1.000008278E+03
1689455758.116368,24.76,55.848,38.3369,1.000008257E+03
1689455759.5346441,24.763,55.854,38.3369,1.000008328E+03
1689455760.9530897,24.761,55.852,38.3369,1.000008112E+03
1689455762.3715992,24.765,55.853,38.3357,1.000008277E+03
1689455763.7900357,24.763,55.852,38.3357,1.000008369E+03
1689455765.2086964,24.761,55.853,38.3357,1.000008310E+03
1689455766.6271365,24.763,55.856,38.3357,1.000008432E+03
1689455768.0455317,24.765,55.857,38.3349,1.000008165E+03
1689455769.4639394,24.771,55.859,38.3349,1.000008200E+03
1689455770.8825405,24.761,55.855,38.3349,1.000008216E+03
1689455772.3009791,24.763,55.859,38.3349,1.000008397E+03
1689455773.719331,24.761,55.86,38.3337,1.000008299E+03
1689455775.1378098,24.76,55.853,38.3337,1.000008410E+03
1689455776.5563126,24.755,55.858,38.3337,1.000008420E+03
1689455777.974816,24.763,55.853,38.3337,1.000008345E+03
1689455779.393394,24.755,55.855,38.3327,1.000008276E+03
1689455780.811917,24.765,55.858,38.3327,1.000008534E+03
1689455782.2304418,24.758,55.861,38.3327,1.000008407E+03
1689455783.648648,24.755,55.86,38.3327,1.000008552E+03
1689455785.0672088,24.755,55.85,38.332,1.000008419E+03
1689455786.4853857,24.758,55.859,38.332,1.000008405E+03
1689455787.903854,24.768,55.856,38.332,1.000008414E+03
1689455789.3223195,24.757,55.857,38.332,1.000008463E+03
1689455790.7409015,24.76,55.865,38.331,1.000008335E+03
1689455792.1593564,24.768,55.855,38.331,1.000008368E+03
1689455793.5778604,24.758,55.857,38.331,1.000008371E+03
1689455794.996236,24.763,55.855,38.331,1.000008434E+03
1689455796.4146547,24.76,55.855,38.3303,1.000008528E+03
1689455797.8331573,24.761,55.859,38.3303,1.000008443E+03
1689455799.2517934,24.761,55.86,38.3303,1.000008217E+03
1689455800.6701741,24.757,55.859,38.3303,1.000008397E+03
1689455802.0884473,24.758,55.86,38.3289,1.000008458E+03
1689455803.506818,24.757,55.852,38.3289,1.000008622E+03
1689455804.9253473,24.757,55.857,38.3289,1.000008372E+03
1689455806.343676,24.758,55.854,38.3289,1.000008454E+03
1689455807.7624748,24.755,55.859,38.3278,1.000008578E+03
1689455809.180533,24.757,55.862,38.3278,1.000008531E+03
1689455810.599105,24.76,55.859,38.3278,1.000008547E+03
1689455812.0175307,24.758,55.862,38.3278,1.000008382E+03
1689455813.4361675,24.761,55.862,38.3271,1.000008554E+03
1689455814.8548117,24.755,55.863,38.3271,1.000008647E+03
1689455816.2728608,24.76,55.858,38.3271,1.000008482E+03
