t,ref_c,humidity,dmm_c,r_ohm
1689622917.1968415,24.493,55.212,38.5092,2.350047391E+03
1689622919.102814,24.504,55.208,38.5092,2.350051942E+03
1689622920.1523128,24.501,55.207,38.5092,2.350053431E+03
1689622921.4520328,24.501,55.214,38.5076,2.350052103E+03
1689622922.8706164,24.501,55.207,38.5076,2.350051549E+03
1689622924.2890673,24.504,55.212,38.5076,2.350049974E+03
1689622925.7076635,24.504,55.211,38.5076,2.350053470E+03
1689622927.125901,24.513,55.208,38.5069,2.350053146E+03
1689622928.5444932,24.507,55.214,38.5069,2.350053613E+03
1689622929.963087,24.518,55.214,38.5069,2.350052904E+03
1689622931.381352,24.506,55.211,38.5069,2.350053077E+03
1689622932.7998426,24.512,55.208,38.5057,2.350052117E+03
1689622934.2183273,24.512,55.207,38.5057,2.350053104E+03
1689622935.6366708,24.515,55.206,38.5057,2.350053761E+03
1689622937.055168,24.524,55.217,38.5057,2.350048967E+03
1689622938.473843,24.519,55.216,38.5042,2.350053731E+03
1689622939.892104,24.521,55.205,38.5042,2.350052346E+03
1689622941.3106925,24.519,55.212,38.5042,2.350049318E+03
1689622942.7289908,24.527,55.212,38.5042,2.350051048E+03
1689622944.1473129,24.522,55.212,38.5031,2.350051808E+03
1689622945.5657554,24.524,55.205,38.5031,2.350048641E+03
1689622946.9845233,24.53,55.206,38.5031,2.350048381E+03
1689622948.4028764,24.527,55.206,38.5031,2.350047308E+03
1689622949.8212047,24.53,55.206,38.5016,2.350051204E+03
1689622951.239882,24.529,55.201,38.5016,2.350051066E+03
1689622952.6581862,24.53,55.202,38.5016,2.350050287E+03
1689622954.0766542,24.533,55.198,38.5016,2.350049837E+03
1689622955.4950056,24.53,55.203,38.5003,2.350054711E+03
1689622956.91351,24.53,55.201,38.5003,2.350051232E+03
1689622958.3320203,24.533,55.199,38.5003,2.350053655E+03
1689622959.7503638,24.544,55.193,38.5003,2.350050868E+03
1689622961.1688511,24.542,55.189,38.4985,2.350052622E+03
1689622962.5874286,24.55,55.194,38.4985,2.350053332E+03
1689622964.0059102,24.533,55.192,38.4985,2.350051671E+03
1689622965.4242578,24.538,55.192,38.4985,2.350053488E+03
1689622966.8427093,24.547,55.191,38.4972,2.350051931E+03
1689622968.2611,24.541,55.186,38.4972,2.350051065E+03
1689622969.6797917,24.552,55.181,38.4972,2.350049992E+03
1689622971.0986853,24.549,55.18,38.4972,2.350054735E+03
1689622972.516615,24.547,55.184,38.4956,2.350054383E+03
1689622973.9350734,24.553,55.184,38.4956,2.350053811E+03
