t,ref_c,humidity,dmm_c,ohm_4w,ohm_2w
1690034624.9174776,23.804,56.612,38.0776,9.998163774E+03,1.001484534E+04
1690034629.2979088,23.796,56.611,38.0776,9.998168288E+03,1.001477595E+04
1690034636.3824983,23.792,56.619,38.0776,9.998154837E+03,1.001474330E+04
1690034643.4681566,23.802,56.622,38.0776,9.998119725E+03,1.001485149E+04
1690034650.5553555,23.796,56.618,38.0776,9.998151443E+03,1.001477975E+04
1690034657.6423652,23.79,56.599,38.0776,9.998151105E+03,1.001482114E+04
1690034664.7299564,23.782,56.573,38.0776,9.998165187E+03,1.001488481E+04
1690034671.8174021,23.784,56.553,38.0776,9.998167054E+03,1.001497052E+04
1690034678.902991,23.789,56.54,38.0776,9.998167415E+03,1.001481930E+04
1690034685.989558,23.793,56.523,38.0776,9.998171952E+03,1.001479573E+04
1690034693.076884,23.792,56.524,38.0776,9.998170599E+03,1.001494168E+04
1690034700.1627781,23.799,56.539,38.0776,9.998167986E+03,1.001494780E+04
1690034707.2476656,23.785,56.54,38.0776,9.998171954E+03,1.001480539E+04
1690034714.3349802,23.782,56.534,38.0776,9.998166192E+03,1.001492157E+04
1690034721.420517,23.779,56.511,38.0776,9.998164628E+03,1.001492724E+04
1690034728.507227,23.772,56.472,38.0776,9.998164700E+03,1.001486666E+04
1690034735.5945108,23.746,56.419,38.0776,9.998166755E+03,1.001486375E+04
1690034742.6819072,23.726,56.378,38.0776,9.998162416E+03,1.001498665E+04
1690034749.7677274,23.729,56.354,38.0776,9.998166753E+03,1.001500583E+04
1690034756.8533895,23.724,56.323,38.0776,9.998169623E+03,1.001490549E+04
1690034763.9406424,23.715,56.323,38.0776,9.998169109E+03,1.001484394E+04
1690034771.0265217,23.72,56.325,38.0776,9.998170283E+03,1.001480396E+04
1690034778.1137524,23.706,56.313,38.0776,9.998169234E+03,1.001477992E+04
1690034785.2013445,23.692,56.306,38.0776,9.998170797E+03,1.001479401E+04
1690034792.288397,23.695,56.305,38.0776,9.998169953E+03,1.001488084E+04
1690034799.3749316,23.683,56.31,38.0776,9.998167669E+03,1.001488284E+04
1690034806.4610667,23.677,56.316,38.0776,9.998166926E+03,1.001479360E+04
1690034813.5482626,23.677,56.33,38.0776,9.998174014E+03,1.001485945E+04
1690034820.6359234,23.678,56.338,38.0776,9.998171979E+03,1.001482854E+04
1690034827.7222514,23.672,56.364,38.0776,9.998166440E+03,1.001495360E+04
1690034834.8082685,23.674,56.383,38.0776,9.998173034E+03,1.001479893E+04
1690034841.8950627,23.674,56.425,38.0776,9.998173363E+03,1.001496887E+04
1690034848.980774,23.671,56.448,38.0776,9.998172668E+03,1.001482541E+04
1690034856.0659122,23.668,56.485,38.0776,9.998169534E+03,1.001480792E+04
1690034863.1524746,23.677,56.528,38.0776,9.998162867E+03,1.001492300E+04
1690034870.2376235,23.671,56.562,38.0776,9.998162102E+03,1.001483372E+04
1690034877.3229651,23.672,56.606,38.0776,9.998164649E+03,1.001486898E+04
1690034884.4097638,23.669,56.642,38.0776,9.998167870E+03,1.001497613E+04
1690034891.496104,23.664,56.668,38.0776,9.998170566E+03,1.001481034E+04
