t,ref_c,humidity,dmm_c,ohm_4w,ohm_2w
1690000199.5806594,24.395,55.71,38.748,9.998171506E+03,1.001541568E+04
1690000203.9580605,24.397,55.705,38.748,9.998175712E+03,1.001545201E+04
1690000211.0424845,24.4,55.701,38.748,9.998174894E+03,1.001546047E+04
1690000218.1268313,24.398,55.675,38.748,9.998181363E+03,1.001546088E+04
1690000225.2109318,24.398,55.66,38.748,9.998181280E+03,1.001543318E+04
1690000232.2952385,24.401,55.648,38.748,9.998178952E+03,1.001545448E+04
1690000239.3794892,24.412,55.642,38.748,9.998178159E+03,1.001541331E+04
1690000246.4638326,24.42,55.638,38.748,9.998179432E+03,1.001545475E+04
1690000253.5479522,24.414,55.642,38.748,9.998179296E+03,1.001545110E+04
1690000260.6322458,24.421,55.636,38.748,9.998174578E+03,1.001546678E+04
1690000267.7164512,24.423,55.634,38.748,9.998180404E+03,1.001544245E+04
1690000274.8010342,24.424,55.629,38.748,9.998184223E+03,1.001546146E+04
1690000281.88505,24.443,55.618,38.748,9.998179657E+03,1.001544913E+04
1690000288.9683645,24.438,55.616,38.748,9.998177114E+03,1.001543363E+04
1690000296.0524864,24.434,55.612,38.748,9.998175303E+03,1.001543540E+04
1690000303.1358175,24.446,55.606,38.748,9.998176989E+03,1.001543826E+04
1690000310.2200408,24.449,55.596,38.748,9.998181095E+03,1.001544288E+04
1690000317.3043344,24.441,55.592,38.748,9.998179384E+03,1.001544353E+04
1690000324.3875341,24.444,55.584,38.748,9.998183024E+03,1.001545389E+04
1690000331.4718351,24.452,55.578,38.748,9.998172933E+03,1.001542056E+04
1690000338.5573196,24.454,55.58,38.748,9.998175293E+03,1.001523311E+04
1690000345.6427476,24.46,55.57,38.748,9.998177281E+03,1.001526978E+04
1690000352.7295203,24.463,55.57,38.748,9.998180448E+03,1.001529426E+04
1690000359.8167014,24.46,55.566,38.748,9.998178438E+03,1.001523673E+04
1690000366.903529,24.461,55.557,38.748,9.998185510E+03,1.001531845E+04
1690000373.9905257,24.466,55.54,38.748,9.998174946E+03,1.001537025E+04
1690000381.0782847,24.484,55.539,38.748,9.998178476E+03,1.001527452E+04
1690000388.1639006,24.486,55.533,38.748,9.998180084E+03,1.001542531E+04
1690000395.2493043,24.483,55.526,38.748,9.998183712E+03,1.001540381E+04
1690000402.3359134,24.49,55.526,38.748,9.998178332E+03,1.001529215E+04
1690000409.4225392,24.483,55.515,38.748,9.998182894E+03,1.001541985E+04
1690000416.5083294,24.49,55.515,38.748,9.998179774E+03,1.001542797E+04
1690000423.5943756,24.495,55.503,38.748,9.998170836E+03,1.001541333E+04
1690000430.678684,24.501,55.498,38.748,9.998180760E+03,1.001527922E+04
1690000437.7656662,24.501,55.489,38.748,9.998177778E+03,1.001529557E+04
