t,dmm_c,r_ohm
1689441276.173104,37.9111,1.000009243E+03
1689441279.9026477,37.9111,1.000009294E+03
1689441280.91436,37.9111,1.000009322E+03
1689441281.9254758,37.9111,1.000009275E+03
1689441282.9363868,37.9109,1.000009152E+03
1689441283.9473412,37.9109,1.000009158E+03
1689441284.9583495,37.9109,1.000009046E+03
1689441285.969478,37.9109,1.000009139E+03
1689441286.980509,37.9109,1.000009027E+03
1689441287.9915848,37.9109,1.000009192E+03
1689441289.0026417,37.9109,1.000009108E+03
1689441290.0137763,37.9109,1.000009178E+03
1689441291.0246997,37.9115,1.000009092E+03
1689441292.0357006,37.9115,1.000009174E+03
1689441293.046726,37.9115,1.000009076E+03
1689441294.0577598,37.9115,1.000009152E+03
1689441295.0688076,37.9115,1.000009057E+03
1689441296.079853,37.9115,1.000009118E+03
1689441297.0908346,37.9115,1.000009199E+03
1689441298.1018698,37.9115,1.000009022E+03
1689441299.1129663,37.9125,1.000009201E+03
1689441300.1240304,37.9125,1.000009207E+03
1689441301.135037,37.9125,1.000009354E+03
1689441302.146101,37.9125,1.000009436E+03
1689441303.157092,37.9125,1.000009232E+03
1689441304.1681707,37.9125,1.000009414E+03
1689441305.1791747,37.9125,1.000009363E+03
1689441306.1902158,37.9125,1.000009363E+03
1689441307.2013025,37.9139,1.000009499E+03
1689441308.2122622,37.9139,1.000009431E+03
1689441309.2232702,37.9139,1.000009618E+03
1689441310.2343402,37.9139,1.000009385E+03
1689441311.245417,37.9139,1.000009284E+03
1689441312.2565072,37.9139,1.000009305E+03
1689441313.2674577,37.9139,1.000009426E+03
1689441314.278521,37.9139,1.000009510E+03
1689441315.289554,37.9147,1.000009266E+03
1689441316.3006313,37.9147,1.000009470E+03
1689441317.3116562,37.9147,1.000009346E+03
1689441318.3226478,37.9147,1.000009555E+03
1689441319.3337,37.9147,1.000009414E+03
1689441320.344805,37.9147,1.000009410E+03
1689441321.3557546,37.9147,1.000009515E+03
1689441322.366905,37.9147,1.000009648E+03
1689441323.3778975,37.9154,1.000009414E+03
1689441324.3888862,37.9154,1.000009519E+03
1689441325.3999817,37.9154,1.000009612E+03
1689441326.4109824,37.9154,1.000009809E+03
1689441327.422012,37.9154,1.000009545E+03
1689441328.433044,37.9154,1.000009659E+03
1689441329.4440968,37.9154,1.000009720E+03
1689441330.4552016,37.9154,1.000009856E+03
1689441331.4662223,37.9165,1.000009862E+03
1689441332.4772747,37.9165,1.000009737E+03
1689441333.4883046,37.9165,1.000009866E+03
1689441334.499276,37.9165,1.000009838E+03
1689441335.5103219,37.9165,1.000009870E+03
1689441336.5214014,37.9165,1.000009774E+03
1689441337.5324516,37.9165,1.000009803E+03
1689441338.54343,37.9165,1.000009739E+03
1689441339.554505,37.9169,1.000009903E+03
1689441340.5655117,37.9169,1.000009898E+03
1689441341.5766869,37.9169,1.000009878E+03
1689441342.5876215,37.9169,1.000009943E+03
1689441343.598685,37.9169,1.000009822E+03
1689441344.609643,37.9169,1.000009658E+03
1689441345.620747,37.9169,1.000009857E+03
1689441346.6317737,37.9169,1.000009870E+03
1689441347.642787,37.9181,1.000009802E+03
1689441348.6538212,37.9181,1.000009951E+03
1689441349.664897,37.9181,1.000009909E+03
1689441350.6759148,37.9181,1.000010005E+03
1689441351.6869612,37.9181,1.000009949E+03
1689441352.6980977,37.9181,1.000009893E+03
1689441353.7090292,37.9181,1.000009942E+03
1689441354.720095,37.9181,1.000010142E+03
1689441355.7311194,37.919,1.000009970E+03
1689441356.7421525,37.919,1.000009982E+03
1689441357.7531612,37.919,1.000010074E+03
1689441358.76422,37.919,1.000010242E+03
1689441359.775337,37.919,1.000010101E+03
1689441360.7863338,37.919,1.000009959E+03
1689441361.7974126,37.919,1.000010129E+03
1689441362.8084698,37.919,1.000010172E+03
1689441363.8195095,37.9197,1.000009957E+03
1689441364.8304784,37.9197,1.000010109E+03
1689441365.8415344,37.9197,1.000009934E+03
1689441366.85276,37.9197,1.000010146E+03
1689441367.86361,37.9197,1.000010020E+03
1689441368.8746195,37.9197,1.000010008E+03
1689441369.8857472,37.9197,1.000010074E+03
1689441370.8967865,37.9197,1.000010032E+03
1689441371.9088144,37.9209,1.000009988E+03
1689441372.919838,37.9209,1.000009949E+03
1689441373.9309223,37.9209,1.000010017E+03
1689441374.941881,37.9209,1.000010080E+03
1689441375.9529085,37.9209,1.000010084E+03
1689441376.9639544,37.9209,1.000009963E+03
1689441377.9750087,37.9209,1.000010075E+03
1689441378.9860516,37.9209,1.000010021E+03
1689441379.9972327,37.9221,1.000009916E+03
1689441381.0091395,37.9221,1.000009841E+03
1689441382.0201752,37.9221,1.000009923E+03
1689441383.0312185,37.9221,1.000010024E+03
1689441384.0422916,37.9221,1.000010000E+03
1689441385.0533464,37.9221,1.000010024E+03
1689441386.0643802,37.9221,1.000009860E+03
1689441387.0755417,37.9221,1.000010016E+03
1689441388.086396,37.923,1.000009904E+03
1689441389.097526,37.923,1.000009936E+03
1689441390.108539,37.923,1.000009936E+03
1689441391.1195962,37.923,1.000010146E+03
1689441392.1305735,37.923,1.000009920E+03
1689441393.1416059,37.923,1.000009968E+03
1689441394.152598,37.923,1.000010125E+03
1689441395.1636732,37.923,1.000009968E+03
1689441396.1747704,37.9237,1.000010043E+03
1689441397.185764,37.9237,1.000009864E+03
1689441398.1968021,37.9237,1.000010071E+03
1689441399.2078054,37.9237,1.000010265E+03
1689441400.2189164,37.9237,1.000009997E+03
1689441401.229993,37.9237,1.000010036E+03
1689441402.2412853,37.9237,1.000009990E+03
1689441403.2530124,37.9237,1.000010067E+03
1689441404.2640545,37.9248,1.000009962E+03
1689441405.2750242,37.9248,1.000010059E+03
1689441406.2860699,37.9248,1.000010017E+03
1689441407.297127,37.9248,1.000010365E+03
1689441408.3081353,37.9248,1.000010130E+03
1689441409.3192408,37.9248,1.000010015E+03
1689441410.3305662,37.9248,1.000010234E+03
1689441411.3413553,37.9248,1.000010096E+03
1689441412.3523703,37.926,1.000010150E+03
1689441413.3634117,37.926,1.000010401E+03
1689441414.3744373,37.926,1.000010266E+03
1689441415.3854687,37.926,1.000010249E+03
1689441416.396552,37.926,1.000010525E+03
1689441417.4075367,37.926,1.000010370E+03
1689441418.4185565,37.926,1.000010438E+03
1689441419.4295726,37.926,1.000010475E+03
1689441420.4406285,37.927,1.000010277E+03
1689441421.451715,37.927,1.000010305E+03
1689441422.462753,37.927,1.000010298E+03
1689441423.473756,37.927,1.000010366E+03
1689441424.4848166,37.927,1.000010307E+03
1689441425.495882,37.927,1.000010354E+03
1689441426.507259,37.927,1.000010373E+03
1689441427.5193982,37.927,1.000010475E+03
1689441428.531031,37.9278,1.000010342E+03
1689441429.5421212,37.9278,1.000010198E+03
1689441430.553336,37.9278,1.000010179E+03
1689441431.5641444,37.9278,1.000010305E+03
1689441432.5750568,37.9278,1.000010118E+03
1689441433.5863945,37.9278,1.000010099E+03
1689441434.5973153,37.9278,1.000010169E+03
1689441435.6090837,37.9278,1.000010333E+03
1689441436.6202304,37.9293,1.000010240E+03
1689441437.6313574,37.9293,1.000010153E+03
1689441438.6423488,37.9293,1.000010106E+03
1689441439.653313,37.9293,1.000010287E+03
1689441440.6650724,37.9293,1.000010308E+03
1689441441.676963,37.9293,1.000010127E+03
1689441442.6890013,37.9293,1.000010371E+03
1689441443.701536,37.9293,1.000010247E+03
1689441444.7134256,37.9307,1.000010095E+03
1689441445.724876,37.9307,1.000010334E+03
1689441446.7365463,37.9307,1.000010439E+03
1689441447.747863,37.9307,1.000010239E+03
1689441448.7595317,37.9307,1.000010222E+03
1689441449.771143,37.9307,1.000010140E+03
1689441450.7828488,37.9307,1.000010162E+03
1689441451.7937932,37.9307,1.000010168E+03
1689441452.804956,37.9318,1.000010134E+03
1689441453.816147,37.9318,1.000010073E+03
1689441454.8270988,37.9318,1.000010166E+03
1689441455.8387945,37.9318,1.000010178E+03
1689441456.850831,37.9318,1.000010187E+03
1689441457.862083,37.9318,1.000010096E+03
1689441458.8729756,37.9318,1.000010286E+03
1689441459.884532,37.9318,1.000010278E+03
1689441460.8968515,37.9326,1.000010216E+03
1689441461.9088342,37.9326,1.000010106E+03
1689441462.9208732,37.9326,1.000010137E+03
1689441463.932457,37.9326,1.000010413E+03
1689441464.9432616,37.9326,1.000010233E+03
1689441465.9543567,37.9326,1.000010188E+03
1689441466.9659607,37.9326,1.000010230E+03
1689441467.9779925,37.9326,1.000010024E+03
1689441468.9895062,37.934,1.000010153E+03
1689441470.0004659,37.934,1.000010082E+03
1689441471.0120947,37.934,1.000010030E+03
1689441472.023551,37.934,1.000010388E+03
1689441473.0346277,37.934,1.000010261E+03
1689441474.0461636,37.934,1.000010131E+03
1689441475.0584116,37.934,1.000010341E+03
1689441476.0704696,37.934,1.000010252E+03
1689441477.0826848,37.9353,1.000010172E+03
1689441478.0946364,37.9353,1.000010121E+03
1689441479.1060767,37.9353,1.000010143E+03
1689441480.116895,37.9353,1.000010348E+03
1689441481.1285453,37.9353,1.000010080E+03
1689441482.1400125,37.9353,1.000010101E+03
1689441483.1518433,37.9353,1.000010028E+03
1689441484.1631815,37.9353,1.000010302E+03
1689441485.1739922,37.9366,1.000010224E+03
1689441486.185411,37.9366,1.000010005E+03
1689441487.1977015,37.9366,1.000010009E+03
1689441488.2094445,37.9366,1.000010100E+03
1689441489.2210312,37.9366,1.000010145E+03
1689441490.2321763,37.9366,1.000010005E+03
1689441491.2432377,37.9366,1.000009886E+03
1689441492.254307,37.9366,1.000009935E+03
1689441493.2653387,37.9376,1.000009947E+03
1689441494.276391,37.9376,1.000010011E+03
1689441495.287503,37.9376,1.000010074E+03
1689441496.2989123,37.9376,1.000010134E+03
1689441497.3112605,37.9376,1.000010151E+03
1689441498.3224704,37.9376,1.000010106E+03
1689441499.3336391,37.9376,1.000010167E+03
1689441500.3446472,37.9376,1.000010249E+03
1689441501.356165,37.939,1.000010193E+03
1689441502.3681717,37.939,1.000010158E+03
1689441503.3805294,37.939,1.000010301E+03
1689441504.3925936,37.939,1.000010072E+03
1689441505.4039452,37.939,1.000010209E+03
1689441506.4156754,37.939,1.000010160E+03
1689441507.4278631,37.939,1.000010251E+03
1689441508.4394593,37.939,1.000010292E+03
1689441509.4519064,37.9406,1.000010205E+03
1689441510.46298,37.9406,1.000010097E+03
1689441511.4739776,37.9406,1.000010334E+03
1689441512.4858334,37.9406,1.000010410E+03
1689441513.4979427,37.9406,1.000010145E+03
1689441514.5093586,37.9406,1.000010111E+03
1689441515.5201495,37.9406,1.000010152E+03
1689441516.5317512,37.9406,1.000010330E+03
1689441517.5432615,37.9421,1.000010169E+03
1689441518.5542579,37.9421,1.000010207E+03
1689441519.5659955,37.9421,1.000010324E+03
1689441520.5773532,37.9421,1.000010303E+03
1689441521.5889306,37.9421,1.000010209E+03
1689441522.6009552,37.9421,1.000010413E+03
1689441523.6128647,37.9421,1.000010230E+03
1689441524.624427,37.9421,1.000010324E+03
1689441525.6356254,37.9437,1.000010210E+03
1689441526.647289,37.9437,1.000010430E+03
1689441527.6594338,37.9437,1.000010352E+03
1689441528.6714346,37.9437,1.000010385E+03
1689441529.6834338,37.9437,1.000010338E+03
1689441530.6946375,37.9437,1.000010331E+03
1689441531.7056432,37.9437,1.000010425E+03
1689441532.7173412,37.9437,1.000010446E+03
1689441533.7289703,37.945,1.000010212E+03
1689441534.7405868,37.945,1.000010276E+03
1689441535.751974,37.945,1.000010369E+03
1689441536.7637088,37.945,1.000010404E+03
1689441537.7749274,37.945,1.000010285E+03
1689441538.78674,37.945,1.000010289E+03
1689441539.79876,37.945,1.000010269E+03
1689441540.8106134,37.945,1.000010532E+03
1689441541.8225908,37.9467,1.000010366E+03
1689441542.834759,37.9467,1.000010343E+03
1689441543.8461957,37.9467,1.000010506E+03
1689441544.857479,37.9467,1.000010688E+03
1689441545.8690486,37.9467,1.000010562E+03
1689441546.881107,37.9467,1.000010506E+03
1689441547.8924577,37.9467,1.000010805E+03
1689441548.9042342,37.9467,1.000010768E+03
1689441549.9153934,37.9487,1.000010703E+03
1689441550.9270358,37.9487,1.000010642E+03
1689441551.9390888,37.9487,1.000010547E+03
1689441552.9510968,37.9487,1.000010624E+03
1689441553.9633675,37.9487,1.000010612E+03
1689441554.974978,37.9487,1.000010600E+03
1689441555.9866133,37.9487,1.000010726E+03
1689441556.9976003,37.9487,1.000010616E+03
1689441558.008633,37.9503,1.000010609E+03
1689441559.0196874,37.9503,1.000010524E+03
1689441560.0315561,37.9503,1.000010683E+03
1689441561.0432022,37.9503,1.000010531E+03
1689441562.0554297,37.9503,1.000010349E+03
1689441563.0674603,37.9503,1.000010325E+03
1689441564.0799773,37.9503,1.000010377E+03
1689441565.0909503,37.9503,1.000010370E+03
1689441566.1027234,37.9519,1.000010370E+03
1689441567.1147392,37.9519,1.000010327E+03
1689441568.1268225,37.9519,1.000010369E+03
1689441569.1388915,37.9519,1.000010554E+03
1689441570.1509032,37.9519,1.000010194E+03
1689441571.1621017,37.9519,1.000010374E+03
1689441572.1731935,37.9519,1.000010374E+03
1689441573.184647,37.9519,1.000010510E+03
1689441574.1969175,37.9536,1.000010301E+03
1689441575.208465,37.9536,1.000010416E+03
1689441576.220297,37.9536,1.000010438E+03
1689441577.232286,37.9536,1.000010416E+03
1689441578.2442696,37.9536,1.000010312E+03
1689441579.2556372,37.9536,1.000010215E+03
1689441580.2666454,37.9536,1.000010208E+03
1689441581.278429,37.9536,1.000010295E+03
1689441582.2895603,37.9556,1.000010470E+03
1689441583.3006227,37.9556,1.000010269E+03
1689441584.3125014,37.9556,1.000010322E+03
1689441585.3238096,37.9556,1.000010353E+03
1689441586.3355832,37.9556,1.000010409E+03
1689441587.3468971,37.9556,1.000010472E+03
1689441588.3586779,37.9556,1.000010406E+03
1689441589.3701353,37.9556,1.000010346E+03
1689441590.381821,37.9574,1.000010371E+03
1689441591.3935049,37.9574,1.000010396E+03
1689441592.4056845,37.9574,1.000010350E+03
1689441593.4170897,37.9574,1.000010375E+03
1689441594.428543,37.9574,1.000010191E+03
1689441595.4401233,37.9574,1.000010328E+03
1689441596.451141,37.9574,1.000010244E+03
1689441597.462941,37.9574,1.000010403E+03
1689441598.475017,37.9595,1.000010357E+03
1689441599.4868574,37.9595,1.000010415E+03
1689441600.4982998,37.9595,1.000010327E+03
1689441601.509847,37.9595,1.000010478E+03
1689441602.521319,37.9595,1.000010247E+03
1689441603.532297,37.9595,1.000010431E+03
1689441604.5441425,37.9595,1.000010324E+03
1689441605.556214,37.9595,1.000010483E+03
1689441606.5676086,37.961,1.000010457E+03
1689441607.579436,37.961,1.000010161E+03
1689441608.590621,37.961,1.000010149E+03
1689441609.6024473,37.961,1.000010443E+03
1689441610.614222,37.961,1.000010283E+03
1689441611.6262565,37.961,1.000010145E+03
1689441612.6377623,37.961,1.000010283E+03
1689441613.6495628,37.961,1.000010212E+03
1689441614.6608233,37.9625,1.000010189E+03
1689441615.6720536,37.9625,1.000010076E+03
1689441616.6829162,37.9625,1.000010324E+03
1689441617.694499,37.9625,1.000010133E+03
1689441618.706067,37.9625,1.000010210E+03
1689441619.7178235,37.9625,1.000009960E+03
1689441620.7295709,37.9625,1.000010245E+03
1689441621.7410283,37.9625,1.000010223E+03
1689441622.7520492,37.9649,1.000010022E+03
1689441623.7631269,37.9649,1.000010037E+03
1689441624.7750616,37.9649,1.000010121E+03
1689441625.7868278,37.9649,1.000010208E+03
1689441626.7983978,37.9649,1.000010144E+03
1689441627.8092728,37.9649,1.000010081E+03
1689441628.8202336,37.9649,1.000010299E+03
1689441629.831244,37.9649,1.000010299E+03
1689441630.8423078,37.9667,1.000010137E+03
1689441631.8533406,37.9667,1.000010423E+03
1689441632.864719,37.9667,1.000010388E+03
1689441633.8754787,37.9667,1.000010463E+03
1689441634.8865142,37.9667,1.000010428E+03
1689441635.8975022,37.9667,1.000010285E+03
1689441636.9085977,37.9667,1.000010281E+03
1689441637.9195905,37.9667,1.000010507E+03
1689441638.9305952,37.9686,1.000010451E+03
1689441639.9416795,37.9686,1.000010443E+03
1689441640.952672,37.9686,1.000010429E+03
1689441641.9637928,37.9686,1.000010464E+03
1689441642.974816,37.9686,1.000010396E+03
1689441643.9858708,37.9686,1.000010384E+03
1689441644.9967895,37.9686,1.000010452E+03
1689441646.007914,37.9686,1.000010517E+03
1689441647.0189226,37.9705,1.000010468E+03
1689441648.0299032,37.9705,1.000010237E+03
1689441649.0410268,37.9705,1.000010589E+03
1689441650.0520048,37.9705,1.000010582E+03
1689441651.0630517,37.9705,1.000010354E+03
1689441652.0741165,37.9705,1.000010531E+03
1689441653.0851035,37.9705,1.000010601E+03
1689441654.0961316,37.9705,1.000010508E+03
1689441655.1071825,37.9724,1.000010391E+03
1689441656.1184955,37.9724,1.000010274E+03
1689441657.1292818,37.9724,1.000010524E+03
1689441658.140529,37.9724,1.000010423E+03
1689441659.1514406,37.9724,1.000010326E+03
1689441660.1623478,37.9724,1.000010388E+03
1689441661.1733716,37.9724,1.000010335E+03
1689441662.1844654,37.9724,1.000010491E+03
1689441663.1955035,37.9746,1.000010318E+03
1689441664.206545,37.9746,1.000010388E+03
