t, ref_c, dmm_c, humidity, v
1689101464.9333863, 24.803, 40.7368, 53.589, 7.045669407E+00
1689101537.8364875, 24.63, 40.7531, 53.632, 7.045664620E+00
1689101539.254854, 24.622, 40.7516, 53.632, 7.045667141E+00
1689101540.673304, 24.616, 40.7505, 53.63, 7.045671682E+00
1689101542.0918567, 24.616, 40.7496, 53.637, 7.045669985E+00
1689101543.5103607, 24.613, 40.749, 53.644, 7.045669975E+00
1689101544.9287045, 24.614, 40.7485, 53.644, 7.045671426E+00
1689101546.3472931, 24.613, 40.7478, 53.643, 7.045671972E+00
1689101547.765765, 24.601, 40.7479, 53.638, 7.045671093E+00
1689101549.1841145, 24.598, 40.7476, 53.639, 7.045671968E+00
1689101550.6025648, 24.593, 40.7469, 53.64, 7.045669965E+00
1689101552.0210323, 24.591, 40.7466, 53.632, 7.045670614E+00
1689101553.4396229, 24.588, 40.7458, 53.62, 7.045670970E+00
1689101554.8578644, 24.579, 40.7455, 53.624, 7.045670088E+00
1689101556.276637, 24.575, 40.7454, 53.623, 7.045670205E+00
1689101557.6949813, 24.573, 40.7445, 53.622, 7.045670597E+00
1689101559.1134212, 24.571, 40.7448, 53.616, 7.045671828E+00
1689101560.5317636, 24.568, 40.7439, 53.613, 7.045670920E+00
1689101561.9503124, 24.562, 40.7431, 53.62, 7.045669762E+00
1689101563.3687925, 24.565, 40.7432, 53.625, 7.045670637E+00
1689101564.7870748, 24.555, 40.7428, 53.625, 7.045671429E+00
1689101566.205612, 24.556, 40.7427, 53.624, 7.045668352E+00
1689101567.6241481, 24.562, 40.7421, 53.631, 7.045670797E+00
1689101569.0426607, 24.552, 40.7419, 53.636, 7.045672464E+00
1689101570.4610128, 24.553, 40.7416, 53.634, 7.045669879E+00
1689101571.8794632, 24.552, 40.7411, 53.636, 7.045669776E+00
1689101573.297973, 24.55, 40.7405, 53.637, 7.045669210E+00
1689101574.7165093, 24.544, 40.7402, 53.635, 7.045670168E+00
1689101576.1348548, 24.541, 40.7398, 53.632, 7.045669370E+00
1689101577.553361, 24.545, 40.7393, 53.64, 7.045669699E+00
1689101578.971856, 24.541, 40.7385, 53.636, 7.045670740E+00
1689101580.3901725, 24.545, 40.7385, 53.644, 7.045670371E+00
1689101581.8086965, 24.536, 40.7383, 53.65, 7.045671675E+00
1689101583.2272155, 24.527, 40.738, 53.646, 7.045670351E+00
1689101584.6457074, 24.527, 40.7371, 53.652, 7.045670072E+00
1689101586.0640638, 24.532, 40.7364, 53.656, 7.045669519E+00
1689101587.4825757, 24.538, 40.7365, 53.653, 7.045669886E+00
1689101588.90108, 24.53, 40.7357, 53.663, 7.045669384E+00
1689101590.319399, 24.53, 40.7353, 53.662, 7.045669826E+00
1689101591.737914, 24.526, 40.7347, 53.661, 7.045669709E+00
1689101593.156433, 24.526, 40.7347, 53.661, 7.045668957E+00
1689101594.5749497, 24.526, 40.7338, 53.658, 7.045669074E+00
1689101595.9932902, 24.516, 40.7342, 53.648, 7.045670664E+00
1689101597.4117765, 24.526, 40.7338, 53.655, 7.045671433E+00
1689101598.8302684, 24.516, 40.7329, 53.643, 7.045669786E+00
1689101600.248676, 24.51, 40.7328, 53.641, 7.045670371E+00
1689101601.6671207, 24.499, 40.7321, 53.626, 7.045669563E+00
1689101603.0856216, 24.498, 40.7323, 53.623, 7.045670422E+00
1689101604.5039685, 24.496, 40.732, 53.624, 7.045670535E+00
1689101605.9224687, 24.483, 40.7312, 53.618, 7.045669180E+00
1689101607.3409772, 24.473, 40.7315, 53.61, 7.045670983E+00
1689101608.7593584, 24.478, 40.7305, 53.612, 7.045669243E+00
1689101610.177816, 24.475, 40.731, 53.588, 7.045670012E+00
1689101611.596392, 24.478, 40.7302, 53.59, 7.045669313E+00
1689101613.01496, 24.463, 40.7297, 53.583, 7.045668808E+00
1689101614.4331894, 24.47, 40.7288, 53.587, 7.045670218E+00
1689101615.851712, 24.473, 40.7286, 53.579, 7.045669560E+00
1689101617.2701876, 24.46, 40.728, 53.584, 7.045669523E+00
1689101618.6887066, 24.466, 40.728, 53.583, 7.045669533E+00
1689101620.107269, 24.461, 40.7275, 53.588, 7.045582737E+00
1689101621.5255537, 24.454, 40.7269, 53.589, 7.045669527E+00
1689101622.944058, 24.44, 40.7269, 53.591, 7.045668572E+00
1689101624.3625557, 24.441, 40.7269, 53.59, 7.045670444E+00
1689101625.7808888, 24.444, 40.7263, 53.582, 7.045669906E+00
1689101627.1994069, 24.44, 40.7261, 53.58, 7.045668755E+00
1689101628.6179602, 24.435, 40.7258, 53.582, 7.045669972E+00
1689101630.0364823, 24.437, 40.7261, 53.578, 7.045670192E+00
1689101631.4547508, 24.437, 40.7255, 53.574, 7.045671223E+00
1689101632.8733017, 24.424, 40.7255, 53.575, 7.045670149E+00
1689101634.2917843, 24.421, 40.7247, 53.575, 7.045669307E+00
1689101635.7103007, 24.429, 40.7244, 53.575, 7.045670840E+00
1689101637.128615, 24.432, 40.7243, 53.575, 7.045669273E+00
1689101638.5471914, 24.421, 40.7238, 53.572, 7.045669906E+00
1689101639.9656432, 24.415, 40.7236, 53.565, 7.045669047E+00
1689101641.3840926, 24.409, 40.7237, 53.569, 7.045672354E+00
1689101642.8024857, 24.414, 40.7233, 53.564, 7.045672278E+00
1689101644.2210097, 24.42, 40.7225, 53.569, 7.045668871E+00
1689101645.639495, 24.412, 40.7228, 53.57, 7.045670851E+00
1689101647.0578444, 24.412, 40.7225, 53.57, 7.045667684E+00
1689101648.4763536, 24.404, 40.7224, 53.57, 7.045671902E+00
1689101649.8948708, 24.412, 40.7221, 53.565, 7.045668329E+00
1689101651.3133588, 24.4, 40.722, 53.565, 7.045670345E+00
1689101652.7317262, 24.392, 40.7216, 53.566, 7.045669769E+00
1689101654.150263, 24.386, 40.721, 53.575, 7.045670847E+00
1689101655.56877, 24.389, 40.7215, 53.569, 7.045670135E+00
1689101656.9870849, 24.383, 40.7211, 53.574, 7.045669353E+00
1689101658.4055676, 24.372, 40.7212, 53.568, 7.045671293E+00
1689101659.8240783, 24.366, 40.7206, 53.558, 7.045669696E+00
1689101661.242581, 24.366, 40.7205, 53.555, 7.045668874E+00
1689101662.660972, 24.357, 40.7202, 53.549, 7.045670281E+00
1689101664.0794919, 24.355, 40.7202, 53.55, 7.045669110E+00
1689101665.4979537, 24.357, 40.7195, 53.546, 7.045670092E+00
1689101666.916465, 24.355, 40.7192, 53.541, 7.045670135E+00
1689101668.3348022, 24.343, 40.7197, 53.55, 7.045670255E+00
1689101669.7532861, 24.337, 40.7193, 53.546, 7.045669453E+00
1689101671.171892, 24.34, 40.7195, 53.55, 7.045668891E+00
1689101672.5901291, 24.345, 40.7186, 53.555, 7.045669636E+00
1689101674.0086477, 24.337, 40.7187, 53.547, 7.045667833E+00
1689101675.4271348, 24.328, 40.7188, 53.552, 7.045668831E+00
1689101676.8454742, 24.328, 40.7181, 53.559, 7.045669853E+00
1689101678.264012, 24.316, 40.7181, 53.559, 7.045669736E+00
