t, ref_c, humidity, v_ch1, v_ch2
1689038243.1632261, 24.567, 52.271, 9.999568939e+00, 9.999677658e+00
1689038244.8728304, 24.571, 52.292, 9.999556541e+00, 9.999677658e+00
1689038246.0002165, 24.559, 52.304, 9.999563217e+00, 9.999670982e+00
1689038247.4186428, 24.559, 52.315, 9.999542236e+00, 9.999670982e+00
1689038248.8372254, 24.555, 52.323, 9.999532700e+00, 9.999685287e+00
1689038250.2555137, 24.562, 52.335, 9.999534607e+00, 9.999668121e+00
1689038251.6741605, 24.559, 52.351, 9.999534607e+00, 9.999670982e+00
1689038253.0923724, 24.562, 52.362, 9.999530792e+00, 9.999658585e+00
1689038254.5109196, 24.561, 52.374, 9.999532700e+00, 9.999666214e+00
1689038255.9293892, 24.559, 52.382, 9.999527931e+00, 9.999654770e+00
1689038257.347714, 24.559, 52.389, 9.999540329e+00, 9.999675751e+00
1689038258.7662005, 24.559, 52.401, 9.999570847e+00, 9.999664307e+00
1689038260.1847303, 24.545, 52.403, 9.999582291e+00, 9.999696732e+00
1689038261.6032286, 24.545, 52.415, 9.999563217e+00, 9.999685287e+00
1689038263.0215762, 24.549, 52.435, 9.999591827e+00, 9.999694824e+00
1689038264.440081, 24.541, 52.45, 9.999585152e+00, 9.999687195e+00
1689038265.8586087, 24.542, 52.459, 9.999561310e+00, 9.999677658e+00
1689038267.2769353, 24.55, 52.475, 9.999570847e+00, 9.999673843e+00
1689038268.6954014, 24.55, 52.492, 9.999588013e+00, 9.999683380e+00
1689038270.1139197, 24.542, 52.508, 9.999575615e+00, 9.999683380e+00
1689038271.532281, 24.547, 52.522, 9.999582291e+00, 9.999687195e+00
1689038272.9507942, 24.542, 52.545, 9.999582291e+00, 9.999690056e+00
1689038274.3693528, 24.539, 52.551, 9.999582291e+00, 9.999690056e+00
1689038275.7876415, 24.544, 52.576, 9.999570847e+00, 9.999696732e+00
1689038277.2064054, 24.541, 52.592, 9.999561310e+00, 9.999709129e+00
1689038278.6246383, 24.544, 52.606, 9.999575615e+00, 9.999696732e+00
1689038280.0429685, 24.541, 52.618, 9.999580383e+00, 9.999677658e+00
1689038281.4615405, 24.547, 52.631, 9.999582291e+00, 9.999696732e+00
1689038282.8799655, 24.542, 52.647, 9.999559402e+00, 9.999694824e+00
1689038284.2985182, 24.541, 52.659, 9.999566078e+00, 9.999699593e+00
1689038285.7168305, 24.539, 52.672, 9.999566078e+00, 9.999694824e+00
1689038287.1353831, 24.541, 52.672, 9.999570847e+00, 9.999687195e+00
1689038288.5538652, 24.552, 52.68, 9.999575615e+00, 9.999670982e+00
1689038289.9724011, 24.533, 52.681, 9.999582291e+00, 9.999694824e+00
1689038291.3907754, 24.527, 52.681, 9.999566078e+00, 9.999699593e+00
1689038292.8092177, 24.535, 52.682, 9.999580383e+00, 9.999694824e+00
1689038294.2277281, 24.536, 52.68, 9.999575615e+00, 9.999706268e+00
1689038295.6462202, 24.529, 52.685, 9.999582291e+00, 9.999706268e+00
1689038297.0646055, 24.535, 52.683, 9.999578476e+00, 9.999702454e+00
1689038298.4830513, 24.535, 52.689, 9.999570847e+00, 9.999706268e+00
1689038299.9015782, 24.522, 52.682, 9.999566078e+00, 9.999687195e+00
1689038301.32008, 24.535, 52.682, 9.999585152e+00, 9.999699593e+00
1689038302.7383914, 24.532, 52.692, 9.999591827e+00, 9.999711990e+00
1689038304.1569126, 24.519, 52.679, 9.999572754e+00, 9.999709129e+00
1689038305.5754244, 24.522, 52.684, 9.999578476e+00, 9.999694824e+00
1689038306.9937882, 24.526, 52.68, 9.999582291e+00, 9.999696732e+00
1689038308.4122598, 24.524, 52.68, 9.999582291e+00, 9.999675751e+00
1689038309.8308141, 24.533, 52.687, 9.999588013e+00, 9.999680519e+00
1689038311.2491324, 24.533, 52.692, 9.999591827e+00, 9.999677658e+00
1689038312.6676743, 24.527, 52.681, 9.999597549e+00, 9.999690056e+00
1689038314.0861335, 24.53, 52.681, 9.999570847e+00, 9.999668121e+00
1689038315.5046434, 24.526, 52.683, 9.999568939e+00, 9.999687195e+00
1689038316.9229755, 24.533, 52.682, 9.999570847e+00, 9.999685287e+00
1689038318.3414772, 24.53, 52.689, 9.999582291e+00, 9.999683380e+00
1689038319.7600064, 24.535, 52.698, 9.999588013e+00, 9.999687195e+00
1689038321.1783392, 24.524, 52.708, 9.999591827e+00, 9.999680519e+00
1689038322.596845, 24.529, 52.714, 9.999585152e+00, 9.999692917e+00
1689038324.0153542, 24.53, 52.721, 9.999559402e+00, 9.999685287e+00
1689038325.433677, 24.524, 52.729, 9.999563217e+00, 9.999680519e+00
1689038326.8522024, 24.53, 52.743, 9.999559402e+00, 9.999683380e+00
1689038328.2707422, 24.533, 52.744, 9.999561310e+00, 9.999694824e+00
1689038329.6890655, 24.529, 52.751, 9.999563217e+00, 9.999685287e+00
1689038331.1075659, 24.532, 52.762, 9.999566078e+00, 9.999690056e+00
1689038332.5260556, 24.527, 52.77, 9.999566078e+00, 9.999680519e+00
1689038333.9445696, 24.529, 52.782, 9.999566078e+00, 9.999685287e+00
1689038335.3629045, 24.529, 52.787, 9.999572754e+00, 9.999677658e+00
1689038336.7814457, 24.53, 52.798, 9.999591827e+00, 9.999696732e+00
1689038338.200001, 24.538, 52.804, 9.999594688e+00, 9.999706268e+00
1689038339.6184564, 24.529, 52.812, 9.999570847e+00, 9.999694824e+00
1689038341.0367687, 24.535, 52.815, 9.999568939e+00, 9.999704361e+00
1689038342.4552681, 24.529, 52.828, 9.999589920e+00, 9.999709129e+00
1689038343.8736074, 24.539, 52.825, 9.999589920e+00, 9.999699593e+00
1689038345.2921255, 24.536, 52.841, 9.999601364e+00, 9.999702454e+00
1689038346.7106206, 24.536, 52.841, 9.999575615e+00, 9.999692917e+00
1689038348.1291244, 24.538, 52.854, 9.999597549e+00, 9.999702454e+00
1689038349.54746, 24.53, 52.855, 9.999604225e+00, 9.999694824e+00
1689038350.965976, 24.535, 52.858, 9.999591827e+00, 9.999702454e+00
1689038352.384507, 24.527, 52.867, 9.999597549e+00, 9.999702454e+00
1689038353.8028107, 24.526, 52.868, 9.999594688e+00, 9.999690056e+00
1689038355.221335, 24.538, 52.869, 9.999585152e+00, 9.999692917e+00
1689038356.6398373, 24.535, 52.876, 9.999585152e+00, 9.999692917e+00
1689038358.0583577, 24.547, 52.877, 9.999582291e+00, 9.999694824e+00
1689038359.476683, 24.536, 52.883, 9.999588013e+00, 9.999690056e+00
1689038360.8952756, 24.53, 52.883, 9.999585152e+00, 9.999687195e+00
1689038362.3137162, 24.541, 52.891, 9.999568939e+00, 9.999680519e+00
1689038363.7320626, 24.538, 52.888, 9.999585152e+00, 9.999694824e+00
1689038365.1505616, 24.532, 52.892, 9.999585152e+00, 9.999704361e+00
1689038366.569044, 24.533, 52.89, 9.999594688e+00, 9.999696732e+00
1689038367.9873967, 24.535, 52.898, 9.999568939e+00, 9.999696732e+00
1689038369.405888, 24.53, 52.908, 9.999572754e+00, 9.999668121e+00
1689038370.8244882, 24.542, 52.914, 9.999549866e+00, 9.999666214e+00
1689038372.2427623, 24.536, 52.913, 9.999566078e+00, 9.999668121e+00
1689038373.6612675, 24.53, 52.921, 9.999561310e+00, 9.999673843e+00
1689038375.0797517, 24.535, 52.921, 9.999568939e+00, 9.999677658e+00
1689038376.4981089, 24.535, 52.925, 9.999566078e+00, 9.999664307e+00
1689038377.9166257, 24.542, 52.924, 9.999570847e+00, 9.999673843e+00
1689038379.3351214, 24.545, 52.924, 9.999575615e+00, 9.999683380e+00
1689038380.7536387, 24.542, 52.927, 9.999566078e+00, 9.999675751e+00
1689038382.1719735, 24.544, 52.938, 9.999556541e+00, 9.999666214e+00
1689038383.590499, 24.544, 52.94, 9.999582291e+00, 9.999683380e+00
1689038385.0089874, 24.526, 52.939, 9.999599457e+00, 9.999715805e+00
1689038386.4273856, 24.541, 52.941, 9.999570847e+00, 9.999709129e+00
