t,ref_c,humidity,dmm_c,r_ohm
1689523861.812586,24.285,57.042,38.2992,1.000410657E+01
1689523863.8344953,24.282,57.067,38.2992,1.000410578E+01
1689523864.8442333,24.282,57.084,38.2992,1.000410433E+01
1689523866.0678713,24.28,57.098,38.299,1.000410863E+01
1689523867.4863894,24.296,57.098,38.299,1.000410972E+01
1689523868.9048686,24.279,57.109,38.299,1.000411030E+01
1689523870.323138,24.283,57.108,38.299,1.000410206E+01
1689523871.741709,24.283,57.111,38.299,1.000410486E+01
1689523873.160218,24.288,57.103,38.299,1.000410746E+01
1689523874.5788534,24.279,57.092,38.299,1.000410771E+01
1689523875.9970095,24.288,57.085,38.299,1.000410579E+01
1689523877.4155307,24.277,57.079,38.2992,1.000410676E+01
1689523878.8341172,24.287,57.065,38.2992,1.000410846E+01
1689523880.2522962,24.285,57.048,38.2992,1.000410724E+01
1689523881.6707895,24.277,57.041,38.2992,1.000410530E+01
1689523883.0894082,24.28,57.02,38.2993,1.000410392E+01
1689523884.5077686,24.287,57.011,38.2993,1.000410875E+01
1689523885.9261146,24.285,56.988,38.2993,1.000410417E+01
1689523887.344719,24.288,56.974,38.2993,1.000411008E+01
1689523888.7630577,24.285,56.96,38.2994,1.000410768E+01
1689523890.1815047,24.285,56.945,38.2994,1.000411223E+01
1689523891.6000896,24.288,56.933,38.2994,1.000410945E+01
1689523893.0186157,24.282,56.919,38.2994,1.000410678E+01
1689523894.4369175,24.279,56.904,38.2991,1.000410621E+01
1689523895.855419,24.282,56.892,38.2991,1.000410753E+01
1689523897.2739363,24.282,56.876,38.2991,1.000411061E+01
1689523898.6923904,24.277,56.865,38.2991,1.000410521E+01
1689523900.110914,24.285,56.849,38.2991,1.000410351E+01
1689523901.5292966,24.28,56.84,38.2991,1.000410460E+01
1689523902.9477913,24.282,56.824,38.2991,1.000410891E+01
1689523904.3662965,24.28,56.807,38.2991,1.000410468E+01
1689523905.7846246,24.28,56.795,38.2991,1.000410560E+01
