t,ref_c,humidity,dmm_c,r_ohm
1689602657.917208,23.569,55.975,37.1293,1.000082239E+06
1689602659.335776,23.569,55.966,37.1174,1.000062063E+06
1689602660.7543113,23.569,55.956,37.1175,1.000058993E+06
1689602662.172666,23.576,55.954,37.117,1.000059581E+06
1689602663.5913434,23.576,55.962,37.1173,1.000058287E+06
1689602665.0095723,23.571,55.963,37.1176,1.000059717E+06
1689602666.4281871,23.576,55.959,37.1176,1.000061763E+06
1689602667.8464394,23.574,55.965,37.1176,1.000060103E+06
1689602669.2649817,23.571,55.969,37.118,1.000059535E+06
1689602670.6834533,23.574,55.97,37.1172,1.000061229E+06
1689602672.1020043,23.576,55.965,37.1179,1.000060966E+06
1689602673.520324,23.569,55.975,37.1179,1.000062239E+06
1689602674.9388754,23.58,55.975,37.1179,1.000060671E+06
1689602676.3573117,23.576,55.97,37.1183,1.000062953E+06
1689602677.7759135,23.571,55.981,37.1189,1.000061240E+06
1689602679.1943371,23.576,55.977,37.119,1.000063201E+06
1689602680.612631,23.569,55.982,37.1193,1.000063343E+06
1689602682.0311565,23.573,55.987,37.1201,1.000063709E+06
1689602683.4497533,23.573,55.987,37.1202,1.000063241E+06
1689602684.868216,23.573,55.99,37.1204,1.000064564E+06
1689602686.2865763,23.58,55.999,37.1205,1.000065472E+06
1689602687.7050836,23.571,55.994,37.1211,1.000064582E+06
1689602689.1236374,23.576,56.0,37.1215,1.000064878E+06
1689602690.542118,23.577,55.995,37.1215,1.000063053E+06
1689602691.9605317,23.577,56.001,37.122,1.000061770E+06
1689602693.3789563,23.576,55.995,37.1224,1.000062725E+06
1689602694.7975497,23.569,55.998,37.1225,1.000064016E+06
1689602696.215965,23.576,55.999,37.1232,1.000063604E+06
1689602697.6344013,23.579,56.003,37.1245,1.000063727E+06
1689602699.0528214,23.576,56.002,37.1241,1.000062530E+06
1689602700.4712622,23.576,55.998,37.1249,1.000062189E+06
1689602701.889803,23.579,56.001,37.1254,1.000062409E+06
1689602703.3080947,23.579,56.004,37.1266,1.000061926E+06
1689602704.7267354,23.582,55.995,37.1267,1.000063417E+06
1689602706.1451676,23.576,55.993,37.1271,1.000063424E+06
1689602707.5637667,23.571,56.003,37.1276,1.000062723E+06
