t,ref_c,humidity,dmm_c,r_ohm
1689553140.5320625,24.498,54.257,38.08,1.999985186E+03
1689553142.4375467,24.49,54.229,38.08,1.999987193E+03
1689553143.4875107,24.496,54.217,38.08,1.999986951E+03
1689553144.787405,24.495,54.209,38.0802,1.999985648E+03
1689553146.2058887,24.493,54.197,38.0802,1.999990476E+03
1689553147.6242445,24.487,54.206,38.0802,1.999986773E+03
1689553149.0427253,24.487,54.209,38.0802,1.999985942E+03
1689553150.4612603,24.498,54.224,38.0797,1.999989928E+03
1689553151.879731,24.489,54.237,38.0797,1.999989098E+03
1689553153.298056,24.498,54.256,38.0797,1.999986069E+03
1689553154.7165942,24.486,54.274,38.0797,1.999988319E+03
1689553156.1350467,24.486,54.289,38.0792,1.999986371E+03
1689553157.5534232,24.495,54.309,38.0792,1.999986146E+03
1689553158.9719071,24.493,54.331,38.0792,1.999984433E+03
1689553160.3904297,24.492,54.355,38.0792,1.999988638E+03
1689553161.8087273,24.49,54.379,38.0788,1.999984630E+03
1689553163.2275732,24.486,54.393,38.0788,1.999984768E+03
1689553164.6457334,24.495,54.424,38.0788,1.999986257E+03
1689553166.064524,24.493,54.441,38.0788,1.999984457E+03
1689553167.4827611,24.492,54.466,38.078,1.999983745E+03
1689553168.901105,24.489,54.492,38.078,1.999983191E+03
1689553170.3197129,24.486,54.52,38.078,1.999988019E+03
1689553171.7380836,24.483,54.537,38.078,1.999985648E+03
1689553173.156438,24.493,54.563,38.0774,1.999984671E+03
1689553174.5748715,24.486,54.583,38.0774,1.999983252E+03
1689553175.993476,24.481,54.606,38.0774,1.999986003E+03
1689553177.4119694,24.483,54.624,38.0774,1.999985329E+03
1689553178.8302653,24.48,54.645,38.0769,1.999985682E+03
1689553180.2487857,24.489,54.661,38.0769,1.999986807E+03
1689553181.667267,24.484,54.687,38.0769,1.999986668E+03
1689553183.0858612,24.487,54.698,38.0769,1.999989870E+03
1689553184.5041025,24.483,54.716,38.0766,1.999987610E+03
1689553185.9227066,24.481,54.732,38.0766,1.999988492E+03
1689553187.341317,24.483,54.745,38.0766,1.999985308E+03
1689553188.759922,24.487,54.767,38.0766,1.999985377E+03
1689553190.1781287,24.486,54.775,38.0758,1.999981880E+03
1689553191.5964885,24.492,54.79,38.0758,1.999986519E+03
1689553193.014921,24.486,54.808,38.0758,1.999986172E+03
1689553194.433522,24.484,54.817,38.0758,1.999984217E+03
1689553195.851806,24.489,54.834,38.075,1.999984947E+03
1689553197.2702596,24.48,54.849,38.075,1.999983805E+03
1689553198.6891494,24.487,54.858,38.075,1.999983840E+03
1689553200.107341,24.481,54.869,38.075,1.999987094E+03
1689553201.5257497,24.483,54.875,38.0743,1.999987409E+03
1689553202.9442003,24.481,54.891,38.0743,1.999985470E+03
1689553204.3626516,24.484,54.898,38.0743,1.999987011E+03
1689553205.7810001,24.486,54.915,38.0743,1.999987201E+03
1689553207.199605,24.495,54.926,38.074,1.999986456E+03
1689553208.6180608,24.476,54.931,38.074,1.999985539E+03
1689553210.036615,24.487,54.935,38.074,1.999986318E+03
1689553211.4551187,24.495,54.944,38.074,1.999990125E+03
1689553212.873303,24.487,54.961,38.0733,1.999985356E+03
1689553214.2918057,24.489,54.964,38.0733,1.999981774E+03
1689553215.7103975,24.476,54.976,38.0733,1.999985581E+03
