t,ref_c,humidity,dmm_c,r_ohm
1689644909.16892,25.543,52.427,38.0103,9.997355074E+03
1689644911.074301,25.535,52.434,38.0103,9.998171443E+03
1689644912.124528,25.541,52.431,38.0103,9.998205400E+03
1689644913.4241214,25.538,52.431,38.0075,9.998301418E+03
1689644914.8425927,25.537,52.419,38.0075,9.998327482E+03
1689644916.2610345,25.544,52.428,38.0075,9.998327188E+03
1689644917.6796136,25.534,52.419,38.0075,9.998321927E+03
1689644919.0982037,25.534,52.43,38.0057,9.998323770E+03
1689644920.5164824,25.532,52.43,38.0057,9.998319565E+03
1689644921.9353325,25.538,52.426,38.0057,9.998322438E+03
1689644923.353218,25.537,52.436,38.0057,9.998324376E+03
1689644924.7718427,25.535,52.434,38.0044,9.998326727E+03
1689644926.1904328,25.537,52.431,38.0044,9.998328804E+03
1689644927.6086423,25.535,52.434,38.0044,9.998321327E+03
1689644929.0270205,25.534,52.435,38.0044,9.998319354E+03
1689644930.4454014,25.538,52.43,38.0035,9.998318581E+03
1689644931.8639762,25.538,52.435,38.0035,9.998326888E+03
1689644933.2823756,25.531,52.427,38.0035,9.998327858E+03
1689644934.7008743,25.54,52.436,38.0035,9.998328204E+03
1689644936.119486,25.532,52.426,38.0022,9.998326994E+03
1689644937.5377843,25.543,52.431,38.0022,9.998326924E+03
1689644938.956103,25.535,52.435,38.0022,9.998320694E+03
1689644940.3744733,25.535,52.426,38.0022,9.998321646E+03
1689644941.7930536,25.537,52.426,38.001,9.998325171E+03
1689644943.2114465,25.538,52.429,38.001,9.998323492E+03
1689644944.6298962,25.535,52.425,38.001,9.998325638E+03
1689644946.0482702,25.531,52.42,38.001,9.998328580E+03
1689644947.4668229,25.538,52.427,37.9995,9.998324384E+03
1689644948.8852375,25.538,52.422,37.9995,9.998325457E+03
1689644950.3041646,25.538,52.428,37.9995,9.998324124E+03
1689644951.7221513,25.531,52.423,37.9995,9.998323121E+03
1689644953.1406002,25.535,52.426,37.9982,9.998328361E+03
1689644954.5593977,25.537,52.429,37.9982,9.998326873E+03
1689644955.9774697,25.537,52.431,37.9982,9.998326510E+03
1689644957.3962905,25.538,52.426,37.9982,9.998326042E+03
1689644958.8143568,25.532,52.418,37.9968,9.998324214E+03
1689644960.232864,25.538,52.427,37.9968,9.998323383E+03
1689644961.651598,25.537,52.428,37.9968,9.998323885E+03
1689644963.0698159,25.543,52.439,37.9968,9.998326689E+03
1689644964.4881103,25.537,52.431,37.9957,9.998329277E+03
1689644965.9068363,25.538,52.424,37.9957,9.998329121E+03
1689644967.3251622,25.529,52.42,37.9957,9.998323202E+03
1689644968.7437418,25.534,52.429,37.9957,9.998325833E+03
1689644970.1620111,25.54,52.436,37.9945,9.998326471E+03
1689644971.5804558,25.529,52.42,37.9945,9.998326973E+03
1689644972.998999,25.54,52.429,37.9945,9.998326419E+03
1689644974.4172668,25.524,52.415,37.9945,9.998324411E+03
1689644975.835691,25.535,52.424,37.9928,9.998324714E+03
1689644977.254484,25.528,52.423,37.9928,9.998323970E+03
1689644978.6727302,25.529,52.428,37.9928,9.998323070E+03
1689644980.0911448,25.534,52.425,37.9928,9.998324922E+03
1689644981.5095298,25.534,52.431,37.9918,9.998326268E+03
1689644982.9281833,25.541,52.435,37.9918,9.998314413E+03
1689644984.3466089,25.537,52.428,37.9918,9.998325265E+03
1689644985.764975,25.528,52.429,37.9918,9.998330180E+03
1689644987.1834955,25.531,52.428,37.9904,9.998324191E+03
1689644988.602071,25.532,52.43,37.9904,9.998326510E+03
1689644990.020552,25.531,52.429,37.9904,9.998321525E+03
1689644991.4386969,25.531,52.432,37.9904,9.998324069E+03
1689644992.8572428,25.537,52.429,37.9891,9.998324424E+03
1689644994.2759387,25.532,52.431,37.9891,9.998330758E+03
1689644995.6941433,25.528,52.428,37.9891,9.998326258E+03
1689644997.1125524,25.534,52.435,37.9891,9.998328629E+03
1689644998.5311325,25.534,52.432,37.9878,9.998323770E+03
1689644999.9495246,25.531,52.435,37.9878,9.998324826E+03
1689645001.367842,25.524,52.432,37.9878,9.998319738E+03
1689645002.7865942,25.524,52.434,37.9878,9.998328045E+03
1689645004.2047899,25.529,52.435,37.9864,9.998325310E+03
1689645005.6233933,25.529,52.431,37.9864,9.998326971E+03
1689645007.041781,25.532,52.438,37.9864,9.998325171E+03
1689645008.4602942,25.537,52.439,37.9864,9.998312831E+03
1689645009.8787336,25.535,52.438,37.985,9.998326445E+03
1689645011.297147,25.541,52.444,37.985,9.998324974E+03
1689645012.7155974,25.529,52.435,37.985,9.998327017E+03
1689645014.1339035,25.534,52.44,37.985,9.998329215E+03
1689645015.5524018,25.54,52.443,37.9835,9.998328192E+03
1689645016.9708385,25.54,52.444,37.9835,9.998322966E+03
1689645018.3893504,25.531,52.439,37.9835,9.998324385E+03
1689645019.8079143,25.528,52.44,37.9835,9.998321252E+03
1689645021.2261245,25.531,52.443,37.9824,9.998323405E+03
1689645022.6446164,25.534,52.441,37.9824,9.998328753E+03
1689645024.0630515,25.531,52.439,37.9824,9.998326070E+03
1689645025.4815114,25.531,52.443,37.9824,9.998327472E+03
1689645026.8997884,25.531,52.444,37.9811,9.998321235E+03
1689645028.3183475,25.534,52.438,37.9811,9.998321980E+03
1689645029.7368662,25.535,52.444,37.9811,9.998320180E+03
1689645031.1554952,25.531,52.444,37.9811,9.998324939E+03
1689645032.5740578,25.532,52.443,37.9799,9.998329669E+03
1689645033.9921389,25.532,52.441,37.9799,9.998333009E+03
1689645035.4106684,25.529,52.439,37.9799,9.998325619E+03
1689645036.8289618,25.526,52.442,37.9799,9.998325913E+03
1689645038.2474356,25.526,52.438,37.9786,9.998320974E+03
1689645039.6661484,25.529,52.439,37.9786,9.998322480E+03
1689645041.0843291,25.529,52.44,37.9786,9.998328468E+03
1689645042.5028577,25.531,52.443,37.9786,9.998331030E+03
1689645043.9213552,25.526,52.442,37.9777,9.998325620E+03
1689645045.3397634,25.529,52.441,37.9777,9.998325654E+03
1689645046.7580986,25.534,52.441,37.9777,9.998327229E+03
1689645048.1766534,25.538,52.443,37.9777,9.998324045E+03
1689645049.5953302,25.528,52.442,37.9766,9.998325163E+03
1689645051.0136187,25.535,52.45,37.9766,9.998325128E+03
1689645052.4319873,25.528,52.442,37.9766,9.998326876E+03
1689645053.8503828,25.535,52.447,37.9766,9.998331601E+03
1689645055.268876,25.528,52.44,37.9755,9.998321770E+03
1689645056.6872845,25.531,52.441,37.9755,9.998322843E+03
1689645058.1058164,25.529,52.451,37.9755,9.998325023E+03
1689645059.5242598,25.529,52.453,37.9755,9.998326754E+03
1689645060.9429016,25.529,52.45,37.9745,9.998330513E+03
1689645062.361302,25.537,52.446,37.9745,9.998326999E+03
1689645063.779495,25.532,52.444,37.9745,9.998325926E+03
1689645065.1981082,25.526,52.448,37.9745,9.998322171E+03
1689645066.6164663,25.532,52.45,37.9738,9.998321951E+03
1689645068.034937,25.534,52.451,37.9738,9.998319736E+03
1689645069.4534144,25.532,52.449,37.9738,9.998325673E+03
1689645070.872008,25.535,52.463,37.9738,9.998326001E+03
1689645072.2905693,25.528,52.453,37.9727,9.998325125E+03
1689645073.7090542,25.534,52.444,37.9727,9.998318981E+03
1689645075.127363,25.534,52.451,37.9727,9.998316904E+03
1689645076.545674,25.531,52.444,37.9727,9.998320123E+03
1689645077.9639618,25.531,52.45,37.972,9.998322869E+03
