t, ref_c, dmm_c, humidity, v
1689260180.2884624, 25.546, 38.2644, 52.877, 7.045657252E+00
1689260181.70695, 25.544, 38.2645, 52.855, 7.045658978E+00
1689260183.1252704, 25.551, 38.2649, 52.863, 7.045661735E+00
1689260184.543755, 25.555, 38.2652, 52.865, 7.045662544E+00
1689260185.9623673, 25.551, 38.2648, 52.86, 7.045662807E+00
1689260187.380851, 25.549, 38.2652, 52.855, 7.045663305E+00
1689260188.7992632, 25.549, 38.265, 52.856, 7.045664250E+00
1689260190.2177615, 25.554, 38.2654, 52.867, 7.045662470E+00
1689260191.6362467, 25.547, 38.2655, 52.867, 7.045662733E+00
1689260193.054602, 25.555, 38.2647, 52.867, 7.045661625E+00
1689260194.473027, 25.552, 38.2647, 52.854, 7.045661975E+00
1689260195.8916523, 25.551, 38.2643, 52.86, 7.045661685E+00
1689260197.3101082, 25.558, 38.2642, 52.861, 7.045662227E+00
1689260198.7286797, 25.552, 38.2641, 52.869, 7.045661981E+00
1689260200.1470146, 25.547, 38.2629, 52.859, 7.045662324E+00
1689260201.5655642, 25.547, 38.2624, 52.852, 7.045661615E+00
1689260202.9840279, 25.549, 38.2609, 52.863, 7.045663571E+00
1689260204.4025655, 25.552, 38.2597, 52.867, 7.045663242E+00
1689260205.8208654, 25.555, 38.2594, 52.867, 7.045662956E+00
1689260207.2393754, 25.543, 38.2576, 52.861, 7.045662477E+00
1689260208.6578906, 25.541, 38.2561, 52.849, 7.045664540E+00
1689260210.0764027, 25.549, 38.2547, 52.849, 7.045663209E+00
1689260211.4947674, 25.56, 38.2531, 52.864, 7.045663565E+00
1689260212.9132893, 25.558, 38.2517, 52.865, 7.045663608E+00
1689260214.3318188, 25.554, 38.2497, 52.861, 7.045662527E+00
1689260215.7503543, 25.552, 38.2477, 52.864, 7.045664616E+00
1689260217.168682, 25.551, 38.2471, 52.864, 7.045663698E+00
1689260218.5874102, 25.56, 38.2442, 52.864, 7.045664640E+00
1689260220.0056412, 25.56, 38.2426, 52.863, 7.045662028E+00
1689260221.4241126, 25.554, 38.2408, 52.852, 7.045662982E+00
1689260222.8425708, 25.557, 38.2392, 52.858, 7.045663755E+00
1689260224.2609396, 25.549, 38.2377, 52.86, 7.045661798E+00
1689260225.6794796, 25.549, 38.2344, 52.861, 7.045662497E+00
1689260227.0979822, 25.56, 38.2331, 52.852, 7.045663438E+00
1689260228.5163183, 25.558, 38.2309, 52.861, 7.045662404E+00
1689260229.9350178, 25.552, 38.2293, 52.859, 7.045663022E+00
1689260231.3533754, 25.557, 38.2267, 52.85, 7.045663288E+00
1689260232.7717063, 25.547, 38.2247, 52.851, 7.045663119E+00
1689260234.1902409, 25.555, 38.2226, 52.851, 7.045663575E+00
1689260235.6087577, 25.555, 38.2212, 52.844, 7.045662477E+00
1689260237.0274389, 25.554, 38.2187, 52.862, 7.045662893E+00
1689260238.4457705, 25.56, 38.2169, 52.859, 7.045662723E+00
1689260239.864105, 25.549, 38.215, 52.858, 7.045662327E+00
1689260241.282651, 25.558, 38.2128, 52.855, 7.045662374E+00
1689260242.7013664, 25.554, 38.211, 52.851, 7.045662297E+00
1689260244.1198883, 25.56, 38.209, 52.86, 7.045663488E+00
1689260245.5380843, 25.56, 38.2073, 52.861, 7.045662447E+00
1689260246.956749, 25.555, 38.2048, 52.851, 7.045661921E+00
1689260248.3751597, 25.564, 38.2022, 52.854, 7.045661941E+00
1689260249.793688, 25.56, 38.2012, 52.862, 7.045663837E+00
1689260251.2121382, 25.557, 38.1989, 52.86, 7.045660826E+00
1689260252.630507, 25.563, 38.1978, 52.86, 7.045662101E+00
1689260254.0489976, 25.563, 38.1956, 52.849, 7.045663495E+00
1689260255.4673162, 25.569, 38.1944, 52.855, 7.045663395E+00
1689260256.8860483, 25.56, 38.192, 52.853, 7.045663625E+00
1689260258.3043408, 25.555, 38.1905, 52.855, 7.045663172E+00
1689260259.7227235, 25.566, 38.1888, 52.85, 7.045662463E+00
1689260261.1412547, 25.554, 38.1869, 52.854, 7.045662310E+00
1689260262.559865, 25.56, 38.1852, 52.848, 7.045664196E+00
1689260263.9782841, 25.56, 38.1831, 52.861, 7.045661142E+00
1689260265.3966444, 25.558, 38.1824, 52.855, 7.045662660E+00
1689260266.8151333, 25.56, 38.1802, 52.85, 7.045662679E+00
1689260268.233611, 25.555, 38.1796, 52.853, 7.045663381E+00
1689260269.65224, 25.561, 38.1773, 52.851, 7.045663794E+00
1689260271.0705194, 25.56, 38.176, 52.848, 7.045662410E+00
1689260272.489114, 25.563, 38.1738, 52.852, 7.045663871E+00
1689260273.9075558, 25.564, 38.1723, 52.849, 7.045662436E+00
1689260275.3260462, 25.558, 38.171, 52.855, 7.045663584E+00
1689260276.7446837, 25.558, 38.1694, 52.853, 7.045663674E+00
1689260278.1631124, 25.558, 38.1684, 52.844, 7.045662882E+00
1689260279.5816343, 25.564, 38.1674, 52.849, 7.045663471E+00
1689260280.9999607, 25.566, 38.1657, 52.848, 7.045663368E+00
1689260282.4185255, 25.557, 38.1643, 52.851, 7.045662932E+00
1689260283.8368227, 25.569, 38.1628, 52.851, 7.045662083E+00
1689260285.2552986, 25.56, 38.1614, 52.849, 7.045662286E+00
1689260286.6738367, 25.56, 38.1607, 52.854, 7.045663408E+00
1689260288.092175, 25.56, 38.159, 52.851, 7.045662692E+00
1689260289.5108337, 25.564, 38.158, 52.844, 7.045663600E+00
1689260290.929328, 25.558, 38.156, 52.853, 7.045662000E+00
1689260292.3479125, 25.566, 38.1557, 52.847, 7.045662227E+00
1689260293.7662597, 25.567, 38.1542, 52.852, 7.045662014E+00
1689260295.1846006, 25.566, 38.1533, 52.847, 7.045661055E+00
1689260296.6034331, 25.56, 38.1521, 52.847, 7.045663431E+00
1689260298.0216324, 25.563, 38.1513, 52.851, 7.045662925E+00
1689260299.4399805, 25.554, 38.1494, 52.849, 7.045664572E+00
1689260300.858565, 25.558, 38.1482, 52.843, 7.045662652E+00
1689260302.2771668, 25.561, 38.1477, 52.848, 7.045663767E+00
1689260303.6956165, 25.566, 38.1469, 52.846, 7.045663574E+00
1689260305.1140404, 25.558, 38.1457, 52.849, 7.045663557E+00
1689260306.5324383, 25.566, 38.1444, 52.848, 7.045662739E+00
1689260307.9509375, 25.563, 38.1432, 52.849, 7.045662952E+00
1689260309.3693922, 25.563, 38.1424, 52.847, 7.045663401E+00
1689260310.7878885, 25.561, 38.1413, 52.848, 7.045661774E+00
1689260312.206327, 25.567, 38.1404, 52.844, 7.045661421E+00
1689260313.6247847, 25.57, 38.1392, 52.847, 7.045663654E+00
1689260315.0431526, 25.564, 38.1379, 52.848, 7.045662150E+00
1689260316.46194, 25.564, 38.137, 52.844, 7.045663081E+00
1689260317.8801687, 25.566, 38.1364, 52.848, 7.045663807E+00
1689260319.29853, 25.563, 38.1354, 52.846, 7.045663514E+00
1689260320.7170353, 25.566, 38.1346, 52.841, 7.045662476E+00
1689260322.135587, 25.561, 38.1341, 52.842, 7.045663650E+00
1689260323.5539126, 25.57, 38.1334, 52.838, 7.045664788E+00
1689260324.9723718, 25.564, 38.1322, 52.847, 7.045664339E+00
1689260326.391032, 25.564, 38.1315, 52.842, 7.045662776E+00
1689260327.8094583, 25.569, 38.1313, 52.846, 7.045664489E+00
1689260329.2279596, 25.56, 38.1298, 52.846, 7.045664718E+00
1689260330.646282, 25.57, 38.1297, 52.849, 7.045662393E+00
1689260332.064865, 25.564, 38.1288, 52.841, 7.045663018E+00
1689260333.4831529, 25.564, 38.1274, 52.846, 7.045662606E+00
1689260334.9016857, 25.563, 38.1269, 52.842, 7.045663551E+00
1689260336.3203292, 25.564, 38.1266, 52.843, 7.045661934E+00
1689260337.7387602, 25.567, 38.1258, 52.847, 7.045662433E+00
1689260339.157062, 25.564, 38.1245, 52.838, 7.045662473E+00
1689260340.5758808, 25.564, 38.1241, 52.847, 7.045663434E+00
1689260341.9942527, 25.567, 38.1235, 52.843, 7.045663334E+00
1689260343.4124262, 25.57, 38.1229, 52.844, 7.045662266E+00
1689260344.8310447, 25.574, 38.1221, 52.839, 7.045662603E+00
1689260346.2495053, 25.566, 38.1214, 52.84, 7.045664329E+00
1689260347.6682084, 25.567, 38.1211, 52.838, 7.045664103E+00
1689260349.0865393, 25.566, 38.12, 52.835, 7.045662220E+00
1689260350.5049162, 25.575, 38.1197, 52.837, 7.045662706E+00
1689260351.9234023, 25.563, 38.1188, 52.837, 7.045663005E+00
1689260353.3417003, 25.57, 38.1185, 52.842, 7.045663724E+00
1689260354.7602448, 25.567, 38.118, 52.837, 7.045663860E+00
1689260356.1788116, 25.566, 38.1176, 52.836, 7.045663072E+00
1689260357.5971658, 25.567, 38.1169, 52.834, 7.045662659E+00
1689260359.0158165, 25.567, 38.1159, 52.839, 7.045662510E+00
1689260360.4342585, 25.567, 38.1154, 52.836, 7.045663468E+00
1689260361.8523781, 25.575, 38.1151, 52.841, 7.045663564E+00
1689260363.2712379, 25.566, 38.1147, 52.84, 7.045662566E+00
1689260364.6894908, 25.566, 38.1142, 52.838, 7.045663098E+00
1689260366.1080623, 25.567, 38.1131, 52.829, 7.045663322E+00
1689260367.5263505, 25.567, 38.1124, 52.836, 7.045661645E+00
1689260368.9448295, 25.561, 38.1121, 52.835, 7.045663365E+00
1689260370.3633976, 25.574, 38.1116, 52.841, 7.045663202E+00
1689260371.781971, 25.567, 38.1109, 52.844, 7.045663438E+00
1689260373.2002597, 25.575, 38.1101, 52.837, 7.045662796E+00
1689260374.6187394, 25.572, 38.1105, 52.838, 7.045661701E+00
1689260376.0372887, 25.564, 38.1092, 52.835, 7.045662214E+00
1689260377.4557457, 25.569, 38.1093, 52.837, 7.045661468E+00
1689260378.8741455, 25.572, 38.1083, 52.831, 7.045662819E+00
1689260380.2926471, 25.569, 38.1083, 52.829, 7.045661781E+00
1689260381.7111459, 25.567, 38.1077, 52.826, 7.045662723E+00
1689260383.12956, 25.567, 38.1073, 52.83, 7.045662420E+00
1689260384.5480666, 25.569, 38.1065, 52.832, 7.045664157E+00
1689260385.966678, 25.569, 38.1065, 52.829, 7.045664127E+00
1689260387.3850849, 25.566, 38.106, 52.832, 7.045663135E+00
1689260388.8033895, 25.578, 38.105, 52.829, 7.045663631E+00
1689260390.2222028, 25.577, 38.1049, 52.834, 7.045664606E+00
1689260391.640251, 25.572, 38.105, 52.83, 7.045662666E+00
1689260393.0587647, 25.567, 38.1044, 52.829, 7.045661808E+00
1689260394.47726, 25.572, 38.1037, 52.831, 7.045662457E+00
1689260395.89579, 25.566, 38.1036, 52.836, 7.045663402E+00
1689260397.3141274, 25.577, 38.104, 52.827, 7.045663176E+00
1689260398.7326837, 25.578, 38.1025, 52.832, 7.045662930E+00
1689260400.1512437, 25.569, 38.1017, 52.827, 7.045663712E+00
1689260401.5698204, 25.57, 38.1016, 52.835, 7.045663721E+00
1689260402.9880192, 25.574, 38.1011, 52.827, 7.045662940E+00
1689260404.4067652, 25.578, 38.1008, 52.826, 7.045664583E+00
1689260405.8251913, 25.574, 38.1003, 52.829, 7.045663874E+00
1689260407.2435791, 25.574, 38.1007, 52.827, 7.045663522E+00
1689260408.6621969, 25.564, 38.0995, 52.828, 7.045663209E+00
1689260410.0805776, 25.578, 38.0994, 52.828, 7.045663485E+00
1689260411.499032, 25.572, 38.0993, 52.826, 7.045662281E+00
1689260412.9176211, 25.574, 38.0983, 52.828, 7.045663745E+00
1689260414.3358474, 25.578, 38.0979, 52.829, 7.045663013E+00
1689260415.7545455, 25.574, 38.0974, 52.83, 7.045662893E+00
1689260417.1728506, 25.57, 38.0972, 52.827, 7.045663219E+00
1689260418.5912375, 25.57, 38.0967, 52.831, 7.045663678E+00
1689260420.0097003, 25.57, 38.0964, 52.818, 7.045662671E+00
1689260421.428209, 25.581, 38.0962, 52.828, 7.045662145E+00
1689260422.846848, 25.575, 38.0955, 52.822, 7.045661972E+00
1689260424.265102, 25.574, 38.0955, 52.825, 7.045663582E+00
1689260425.6835666, 25.572, 38.0951, 52.817, 7.045663542E+00
1689260427.1020977, 25.574, 38.0946, 52.824, 7.045663350E+00
1689260428.520476, 25.574, 38.0946, 52.824, 7.045662757E+00
1689260429.9389489, 25.578, 38.0941, 52.82, 7.045662641E+00
1689260431.3574436, 25.572, 38.0935, 52.819, 7.045662584E+00
1689260432.775985, 25.578, 38.0938, 52.817, 7.045663998E+00
1689260434.1943533, 25.575, 38.0933, 52.826, 7.045662818E+00
1689260435.613068, 25.58, 38.0928, 52.812, 7.045664894E+00
1689260437.0314016, 25.569, 38.0922, 52.819, 7.045663979E+00
1689260438.4499164, 25.577, 38.0925, 52.816, 7.045663546E+00
1689260439.8682895, 25.57, 38.0915, 52.823, 7.045661906E+00
1689260441.286775, 25.566, 38.0918, 52.818, 7.045663826E+00
1689260442.7052786, 25.572, 38.0914, 52.817, 7.045663570E+00
1689260444.1238678, 25.58, 38.0908, 52.818, 7.045661899E+00
1689260445.5421429, 25.577, 38.0898, 52.826, 7.045661490E+00
1689260446.960684, 25.577, 38.0898, 52.815, 7.045662851E+00
1689260448.3791556, 25.578, 38.09, 52.818, 7.045662455E+00
1689260449.7974858, 25.578, 38.0899, 52.81, 7.045663517E+00
1689260451.2161505, 25.569, 38.0888, 52.808, 7.045662722E+00
1689260452.634294, 25.584, 38.0886, 52.818, 7.045662718E+00
1689260454.0528865, 25.58, 38.088, 52.823, 7.045661820E+00
1689260455.4715343, 25.578, 38.0878, 52.814, 7.045662103E+00
1689260456.8899884, 25.589, 38.0876, 52.811, 7.045663786E+00
1689260458.3082788, 25.574, 38.0867, 52.816, 7.045662861E+00
1689260459.7267513, 25.569, 38.0866, 52.816, 7.045663324E+00
1689260461.1452882, 25.569, 38.0861, 52.822, 7.045662422E+00
1689260462.563656, 25.577, 38.0865, 52.817, 7.045663254E+00
1689260463.9822462, 25.574, 38.085, 52.817, 7.045664389E+00
1689260465.400545, 25.569, 38.0854, 52.816, 7.045663014E+00
1689260466.8191252, 25.581, 38.0845, 52.81, 7.045662941E+00
1689260468.2376359, 25.581, 38.0846, 52.811, 7.045662665E+00
1689260469.6560304, 25.581, 38.0842, 52.808, 7.045662323E+00
1689260471.074603, 25.58, 38.0841, 52.815, 7.045664029E+00
1689260472.493009, 25.58, 38.083, 52.807, 7.045664236E+00
1689260473.9113235, 25.569, 38.0831, 52.812, 7.045662748E+00
1689260475.3299627, 25.58, 38.0817, 52.808, 7.045663281E+00
1689260476.7484443, 25.583, 38.0819, 52.81, 7.045663268E+00
1689260478.1669443, 25.584, 38.0816, 52.814, 7.045663361E+00
1689260479.5851824, 25.581, 38.0817, 52.808, 7.045661940E+00
1689260481.0037818, 25.586, 38.0811, 52.811, 7.045663121E+00
1689260482.422401, 25.58, 38.0806, 52.811, 7.045664179E+00
1689260483.8406498, 25.589, 38.0806, 52.81, 7.045664209E+00
1689260485.2591608, 25.575, 38.0795, 52.811, 7.045663381E+00
1689260486.6776712, 25.572, 38.0791, 52.805, 7.045662309E+00
1689260488.0961993, 25.59, 38.0785, 52.81, 7.045663487E+00
1689260489.5145292, 25.58, 38.0782, 52.803, 7.045662762E+00
1689260490.9330285, 25.578, 38.0781, 52.808, 7.045663890E+00
1689260492.3515694, 25.584, 38.0779, 52.805, 7.045662842E+00
1689260493.770155, 25.575, 38.0774, 52.806, 7.045663214E+00
1689260495.1884274, 25.581, 38.0769, 52.804, 7.045663214E+00
1689260496.6070702, 25.581, 38.0769, 52.814, 7.045664292E+00
1689260498.0253034, 25.577, 38.0764, 52.807, 7.045661833E+00
1689260499.4437308, 25.578, 38.0751, 52.8, 7.045663750E+00
1689260500.8623223, 25.574, 38.0748, 52.807, 7.045663507E+00
1689260502.2807703, 25.581, 38.0759, 52.802, 7.045661917E+00
1689260503.6991794, 25.584, 38.0747, 52.802, 7.045663148E+00
1689260505.1177697, 25.583, 38.0744, 52.803, 7.045664336E+00
1689260506.536309, 25.581, 38.0743, 52.802, 7.045661887E+00
1689260507.9548125, 25.58, 38.074, 52.804, 7.045662869E+00
1689260509.3731997, 25.583, 38.0741, 52.806, 7.045662479E+00
1689260510.7917328, 25.574, 38.0735, 52.808, 7.045663810E+00
1689260512.210263, 25.587, 38.0731, 52.805, 7.045663830E+00
1689260513.6286724, 25.58, 38.0729, 52.81, 7.045662479E+00
1689260515.047091, 25.577, 38.072, 52.806, 7.045662037E+00
1689260516.4656022, 25.584, 38.072, 52.802, 7.045662426E+00
1689260517.8839092, 25.584, 38.0719, 52.803, 7.045663138E+00
1689260519.302311, 25.574, 38.0717, 52.808, 7.045663375E+00
1689260520.7208734, 25.586, 38.0716, 52.805, 7.045663784E+00
1689260522.1394422, 25.58, 38.0707, 52.805, 7.045662127E+00
1689260523.5576758, 25.58, 38.0702, 52.802, 7.045661831E+00
1689260524.9763422, 25.581, 38.0708, 52.801, 7.045662024E+00
1689260526.394978, 25.58, 38.0698, 52.802, 7.045663880E+00
1689260527.8131406, 25.581, 38.0696, 52.801, 7.045663285E+00
1689260529.2317584, 25.574, 38.0688, 52.803, 7.045663768E+00
1689260530.6504433, 25.583, 38.0686, 52.808, 7.045663738E+00
1689260532.0686574, 25.586, 38.069, 52.8, 7.045663102E+00
1689260533.4872622, 25.587, 38.0678, 52.805, 7.045662473E+00
1689260534.9056475, 25.592, 38.0683, 52.804, 7.045663189E+00
1689260536.3241324, 25.584, 38.0668, 52.802, 7.045663548E+00
1689260537.7424788, 25.578, 38.0672, 52.8, 7.045662996E+00
1689260539.1608124, 25.589, 38.0665, 52.811, 7.045663754E+00
1689260540.5795207, 25.583, 38.0661, 52.806, 7.045662862E+00
1689260541.9979527, 25.58, 38.0655, 52.804, 7.045661249E+00
1689260543.416223, 25.586, 38.0657, 52.802, 7.045662221E+00
1689260544.8346827, 25.584, 38.0658, 52.795, 7.045664114E+00
1689260546.253576, 25.589, 38.0653, 52.802, 7.045662447E+00
1689260547.6718745, 25.581, 38.065, 52.8, 7.045663582E+00
1689260549.0901256, 25.581, 38.0644, 52.801, 7.045663661E+00
1689260550.508614, 25.587, 38.0642, 52.799, 7.045663206E+00
1689260551.927091, 25.581, 38.064, 52.804, 7.045662424E+00
1689260553.34547, 25.587, 38.0635, 52.801, 7.045663365E+00
1689260554.7639723, 25.589, 38.0628, 52.801, 7.045663019E+00
1689260556.1826348, 25.584, 38.0632, 52.799, 7.045662557E+00
1689260557.6009066, 25.593, 38.0626, 52.795, 7.045662547E+00
1689260559.0193486, 25.589, 38.0623, 52.798, 7.045663079E+00
1689260560.4378045, 25.59, 38.062, 52.801, 7.045662966E+00
1689260561.8563406, 25.592, 38.0616, 52.799, 7.045662933E+00
1689260563.2747438, 25.574, 38.0613, 52.802, 7.045664813E+00
1689260564.6931872, 25.58, 38.0607, 52.795, 7.045662913E+00
1689260566.111984, 25.592, 38.0608, 52.8, 7.045662494E+00
1689260567.5302699, 25.587, 38.0606, 52.799, 7.045662777E+00
1689260568.948568, 25.587, 38.0605, 52.793, 7.045663539E+00
1689260570.367261, 25.584, 38.0599, 52.796, 7.045662397E+00
1689260571.7856414, 25.586, 38.0589, 52.793, 7.045662663E+00
1689260573.2042434, 25.581, 38.0591, 52.788, 7.045664677E+00
1689260574.622474, 25.592, 38.0583, 52.791, 7.045663798E+00
1689260576.0413017, 25.583, 38.0584, 52.801, 7.045665073E+00
1689260577.4595616, 25.584, 38.058, 52.791, 7.045661922E+00
1689260578.8780417, 25.586, 38.0577, 52.792, 7.045661712E+00
1689260580.2964108, 25.589, 38.0574, 52.789, 7.045663892E+00
1689260581.7149796, 25.584, 38.0573, 52.796, 7.045662757E+00
1689260583.1333892, 25.587, 38.0567, 52.794, 7.045663476E+00
1689260584.5518713, 25.589, 38.0565, 52.795, 7.045663310E+00
1689260585.970234, 25.584, 38.0566, 52.796, 7.045662495E+00
1689260587.38876, 25.59, 38.0558, 52.792, 7.045663180E+00
1689260588.8072743, 25.589, 38.0556, 52.793, 7.045663213E+00
1689260590.225916, 25.595, 38.0554, 52.791, 7.045662944E+00
1689260591.6441164, 25.586, 38.0549, 52.792, 7.045661886E+00
1689260593.0627809, 25.59, 38.0548, 52.801, 7.045663080E+00
1689260594.4812002, 25.593, 38.055, 52.794, 7.045663380E+00
1689260595.8997, 25.586, 38.054, 52.789, 7.045663816E+00
