t, ref_c, humidity, v_ch1, v_ch2
1689078837.9011343, 23.704, 54.001, 9.999613762e+00, 9.999769211e+00
1689078839.6109, 23.697, 54.006, 9.999594688e+00, 9.999742508e+00
1689078840.738138, 23.697, 54.0, 9.999607086e+00, 9.999744415e+00
1689078842.1566346, 23.706, 54.007, 9.999588013e+00, 9.999744415e+00
1689078843.574977, 23.7, 54.014, 9.999578476e+00, 9.999747276e+00
1689078844.9935403, 23.707, 54.014, 9.999589920e+00, 9.999731064e+00
1689078846.4119828, 23.712, 54.013, 9.999582291e+00, 9.999747276e+00
1689078847.8303123, 23.712, 54.016, 9.999582291e+00, 9.999744415e+00
1689078849.2488549, 23.706, 54.015, 9.999597549e+00, 9.999744415e+00
1689078850.6673524, 23.72, 54.022, 9.999599457e+00, 9.999734879e+00
1689078852.085664, 23.704, 54.019, 9.999597549e+00, 9.999731064e+00
1689078853.5041518, 23.706, 54.022, 9.999597549e+00, 9.999721527e+00
1689078854.9226635, 23.707, 54.02, 9.999588013e+00, 9.999750137e+00
1689078856.3410068, 23.707, 54.018, 9.999594688e+00, 9.999752045e+00
1689078857.7595186, 23.71, 54.024, 9.999597549e+00, 9.999744415e+00
1689078859.1780226, 23.707, 54.022, 9.999588013e+00, 9.999761581e+00
1689078860.5963361, 23.717, 54.022, 9.999601364e+00, 9.999753952e+00
1689078862.014859, 23.707, 54.022, 9.999591827e+00, 9.999769211e+00
1689078863.4333503, 23.723, 54.012, 9.999594688e+00, 9.999773026e+00
1689078864.8518572, 23.717, 54.019, 9.999594688e+00, 9.999756813e+00
1689078866.2701795, 23.71, 54.015, 9.999585152e+00, 9.999747276e+00
1689078867.6887062, 23.717, 54.022, 9.999580383e+00, 9.999753952e+00
1689078869.1072598, 23.723, 54.026, 9.999608994e+00, 9.999759674e+00
1689078870.525604, 23.715, 54.02, 9.999594688e+00, 9.999773026e+00
1689078871.944088, 23.727, 54.023, 9.999610901e+00, 9.999759674e+00
1689078873.3625555, 23.718, 54.026, 9.999626160e+00, 9.999763489e+00
1689078874.7811546, 23.718, 54.03, 9.999613762e+00, 9.999773026e+00
1689078876.1993976, 23.721, 54.029, 9.999616623e+00, 9.999761581e+00
1689078877.617888, 23.721, 54.03, 9.999607086e+00, 9.999761581e+00
1689078879.0363817, 23.715, 54.034, 9.999604225e+00, 9.999769211e+00
1689078880.454724, 23.732, 54.037, 9.999604225e+00, 9.999788284e+00
1689078881.8732288, 23.726, 54.032, 9.999616623e+00, 9.999763489e+00
1689078883.291734, 23.715, 54.03, 9.999616623e+00, 9.999775887e+00
1689078884.7100623, 23.721, 54.04, 9.999597549e+00, 9.999771118e+00
1689078886.1286077, 23.715, 54.044, 9.999604225e+00, 9.999788284e+00
1689078887.5470493, 23.724, 54.047, 9.999597549e+00, 9.999773026e+00
1689078888.9654264, 23.726, 54.046, 9.999597549e+00, 9.999778748e+00
1689078890.383907, 23.723, 54.049, 9.999604225e+00, 9.999794960e+00
1689078891.8024476, 23.72, 54.046, 9.999607086e+00, 9.999788284e+00
1689078893.2209299, 23.726, 54.043, 9.999604225e+00, 9.999775887e+00
