t, ref_c, humidity, v
1689102765.7432175, 24.461, 53.338, 9.999872208e+00
1689102767.1615336, 24.463, 53.335, 1.000022697e+01
1689102768.580166, 24.463, 53.333, 1.000050926e+01
1689102769.9985812, 24.457, 53.333, 1.000038815e+01
1689102771.416936, 24.458, 53.327, 1.000046253e+01
1689102772.8353875, 24.455, 53.328, 1.000033379e+01
1689102774.2539337, 24.452, 53.315, 1.000033951e+01
1689102775.672295, 24.447, 53.305, 1.000042915e+01
1689102777.0907447, 24.443, 53.309, 1.000028229e+01
1689102778.509208, 24.444, 53.3, 1.000049400e+01
1689102779.927592, 24.444, 53.299, 1.000029755e+01
1689102781.3461225, 24.438, 53.295, 1.000024128e+01
1689102782.7646365, 24.44, 53.296, 1.000024033e+01
1689102784.1831243, 24.44, 53.298, 1.000024891e+01
1689102785.6015058, 24.444, 53.295, 1.000023651e+01
1689102787.0199523, 24.437, 53.29, 1.000023556e+01
1689102788.4384255, 24.44, 53.292, 1.000024605e+01
1689102789.856924, 24.438, 53.293, 9.999601364e+00
1689102791.2752976, 24.437, 53.3, 9.999652863e+00
1689102792.6938295, 24.438, 53.298, 9.999661446e+00
1689102794.1122663, 24.431, 53.296, 9.999672890e+00
1689102795.5307956, 24.434, 53.298, 9.999814034e+00
1689102796.9491658, 24.424, 53.292, 9.999725342e+00
1689102798.3676252, 24.423, 53.281, 9.999617577e+00
1689102799.7861238, 24.414, 53.28, 9.999731064e+00
1689102801.2044597, 24.414, 53.275, 9.999812126e+00
1689102802.6229534, 24.411, 53.271, 9.999834061e+00
1689102804.0415032, 24.411, 53.266, 9.999952316e+00
1689102805.4598916, 24.404, 53.271, 1.000031948e+01
1689102806.8783245, 24.408, 53.277, 1.000064945e+01
1689102808.2967865, 24.406, 53.274, 1.000054932e+01
1689102809.7153664, 24.401, 53.269, 1.000054169e+01
1689102811.1336339, 24.395, 53.279, 1.000067139e+01
1689102812.552147, 24.394, 53.274, 1.000076675e+01
1689102813.9706829, 24.394, 53.271, 1.000053596e+01
1689102815.3891747, 24.386, 53.274, 1.000065136e+01
1689102816.8074863, 24.382, 53.265, 1.000076389e+01
1689102818.2259855, 24.382, 53.267, 1.000063992e+01
1689102819.6445131, 24.38, 53.274, 1.000060749e+01
1689102821.063012, 24.372, 53.267, 1.000031471e+01
1689102822.4813275, 24.369, 53.267, 1.000039768e+01
1689102823.8998327, 24.371, 53.254, 1.000022411e+01
1689102825.318389, 24.377, 53.254, 1.000012302e+01
1689102826.7368667, 24.369, 53.256, 1.000020409e+01
1689102828.1552017, 24.372, 53.251, 1.000018311e+01
1689102829.573725, 24.371, 53.251, 1.000017452e+01
1689102830.9921956, 24.362, 53.251, 1.000017071e+01
1689102832.41069, 24.374, 53.253, 1.000028801e+01
1689102833.829035, 24.366, 53.263, 1.000017834e+01
1689102835.2476127, 24.365, 53.26, 1.000016880e+01
1689102836.6660502, 24.371, 53.273, 1.000002289e+01
1689102838.0845385, 24.363, 53.254, 1.000014496e+01
1689102839.502884, 24.36, 53.253, 1.000012779e+01
1689102840.9214506, 24.362, 53.254, 1.000001907e+01
1689102842.3398905, 24.36, 53.254, 1.000005054e+01
1689102843.7582843, 24.352, 53.246, 1.000018406e+01
1689102845.1767445, 24.354, 53.246, 1.000020218e+01
1689102846.595277, 24.355, 53.242, 1.000022316e+01
1689102848.01357, 24.359, 53.248, 1.000026226e+01
1689102849.432085, 24.351, 53.231, 1.000040436e+01
1689102850.8505955, 24.354, 53.235, 1.000017357e+01
1689102852.2690809, 24.359, 53.241, 1.000035191e+01
1689102853.68743, 24.351, 53.237, 1.000037098e+01
1689102855.1059659, 24.355, 53.24, 1.000038147e+01
1689102856.5244446, 24.359, 53.23, 1.000049496e+01
1689102857.9427752, 24.349, 53.223, 1.000027275e+01
1689102859.3612878, 24.357, 53.215, 1.000026989e+01
1689102860.7797747, 24.354, 53.217, 1.000037003e+01
1689102862.1982954, 24.351, 53.207, 1.000049496e+01
1689102863.616618, 24.349, 53.206, 1.000037766e+01
1689102865.0351186, 24.354, 53.207, 1.000025845e+01
1689102866.4534755, 24.352, 53.199, 1.000037575e+01
1689102867.871949, 24.346, 53.19, 1.000025272e+01
1689102869.290493, 24.354, 53.194, 1.000046062e+01
1689102870.7089841, 24.346, 53.187, 1.000043011e+01
1689102872.127296, 24.352, 53.188, 1.000039768e+01
1689102873.5458515, 24.355, 53.191, 1.000037670e+01
1689102874.9643235, 24.349, 53.196, 1.000024128e+01
1689102876.3826427, 24.348, 53.191, 1.000021362e+01
1689102877.801162, 24.346, 53.179, 1.000006962e+01
1689102879.219955, 24.355, 53.186, 1.000019646e+01
1689102880.6379972, 24.352, 53.182, 1.000031567e+01
1689102882.056512, 24.352, 53.178, 1.000019455e+01
1689102883.4754102, 24.354, 53.169, 1.000009251e+01
1689102884.8935187, 24.345, 53.165, 1.000024223e+01
1689102886.311837, 24.346, 53.166, 1.000001812e+01
1689102887.7303467, 24.346, 53.159, 1.000014305e+01
1689102889.1488564, 24.342, 53.151, 1.000012016e+01
1689102890.5672266, 24.352, 53.145, 1.000011826e+01
1689102891.9856808, 24.331, 53.128, 1.000004196e+01
1689102893.404229, 24.336, 53.127, 1.000005722e+01
1689102894.8225422, 24.339, 53.117, 1.000022030e+01
1689102896.241062, 24.336, 53.107, 1.000011826e+01
1689102897.6595926, 24.331, 53.105, 1.000037956e+01
1689102899.0778747, 24.322, 53.103, 1.000040436e+01
1689102900.496406, 24.32, 53.095, 1.000043869e+01
1689102901.914889, 24.325, 53.089, 1.000045586e+01
1689102903.3334346, 24.316, 53.085, 1.000056934e+01
1689102904.7517471, 24.313, 53.087, 1.000045013e+01
1689102906.1702445, 24.308, 53.08, 1.000057220e+01
1689102907.5887172, 24.319, 53.074, 1.000044441e+01
1689102909.007061, 24.309, 53.082, 1.000055790e+01
1689102910.4255896, 24.32, 53.075, 1.000056362e+01
1689102911.8440921, 24.308, 53.07, 1.000045967e+01
1689102913.2624133, 24.305, 53.067, 1.000034332e+01
1689102914.6809316, 24.308, 53.072, 1.000060844e+01
1689102916.0994413, 24.314, 53.071, 1.000057507e+01
1689102917.5179374, 24.303, 53.058, 1.000056648e+01
