t, ref_c, dmm_c, humidity, v
1690129419.371784, 24.044, 37.5056, 64.729, -9.999962486E+00
1690129420.7903287, 24.052, 37.5058, 64.731, -9.999977976E+00
1690129422.2088299, 24.054, 37.5066, 64.738, -9.999987253E+00
1690129423.627335, 24.064, 37.5068, 64.775, -9.999973408E+00
1690129425.0456827, 24.07, 37.5078, 64.82, -9.999986317E+00
1690129426.4641032, 24.072, 37.5084, 64.867, -9.999989447E+00
1690129427.8826823, 24.08, 37.5094, 64.927, -9.999986262E+00
1690129429.3010986, 24.086, 37.5112, 64.965, -9.999973414E+00
1690129430.7196703, 24.093, 37.5119, 65.01, -9.999981572E+00
1690129432.1380684, 24.103, 37.5122, 65.034, -9.999971524E+00
1690129433.5563908, 24.107, 37.5129, 65.048, -9.999983051E+00
1690129434.9748843, 24.101, 37.5142, 65.058, -9.999976243E+00
1690129436.3933213, 24.104, 37.5146, 65.05, -9.999975248E+00
1690129437.8117533, 24.107, 37.5159, 65.053, -9.999971299E+00
1690129439.2302015, 24.106, 37.5165, 65.047, -9.999980042E+00
1690129440.6487577, 24.115, 37.5176, 65.044, -9.999989352E+00
1690129442.067432, 24.116, 37.5189, 65.03, -9.999983807E+00
1690129443.4856644, 24.121, 37.5193, 65.015, -9.999975392E+00
1690129444.9040902, 24.113, 37.5196, 64.99, -9.999979471E+00
1690129446.3226652, 24.107, 37.5203, 64.964, -9.999984008E+00
1690129447.7410645, 24.104, 37.5217, 64.946, -9.999991147E+00
1690129449.1594663, 24.101, 37.522, 64.925, -9.999984251E+00
1690129450.577936, 24.104, 37.5221, 64.904, -9.999982899E+00
1690129451.996267, 24.095, 37.5237, 64.885, -9.999981836E+00
1690129453.4148295, 24.089, 37.5242, 64.872, -9.999977598E+00
1690129454.8332806, 24.086, 37.5245, 64.865, -9.999981041E+00
1690129456.2520912, 24.086, 37.5252, 64.863, -9.999978412E+00
1690129457.6702175, 24.075, 37.5264, 64.866, -9.999991149E+00
1690129459.0886471, 24.077, 37.527, 64.868, -9.999982050E+00
1690129460.5072238, 24.09, 37.5273, 64.88, -9.999980942E+00
1690129461.9258127, 24.078, 37.5287, 64.891, -9.999982760E+00
1690129463.34398, 24.08, 37.5292, 64.909, -9.999979803E+00
1690129464.7624924, 24.07, 37.5292, 64.927, -9.999981512E+00
1690129466.1809912, 24.074, 37.5301, 64.933, -9.999971066E+00
1690129467.5997386, 24.067, 37.5318, 64.956, -9.999980377E+00
1690129469.017907, 24.072, 37.5318, 64.966, -9.999978186E+00
1690129470.4363756, 24.067, 37.5319, 64.975, -9.999977065E+00
1690129471.8547966, 24.067, 37.5327, 64.998, -9.999982638E+00
1690129473.2732072, 24.066, 37.5336, 64.999, -9.999984698E+00
1690129474.69171, 24.052, 37.5345, 64.994, -9.999980390E+00
1690129476.110232, 24.06, 37.5347, 64.996, -9.999983521E+00
1690129477.5286217, 24.049, 37.5346, 64.999, -9.999975405E+00
1690129478.9471772, 24.041, 37.5354, 64.993, -9.999971267E+00
1690129480.3654559, 24.043, 37.5354, 64.983, -9.999991427E+00
1690129481.784101, 24.018, 37.5367, 64.989, -9.999989394E+00
1690129483.2024717, 24.023, 37.5373, 64.983, -9.999985543E+00
1690129484.6210835, 24.02, 37.5375, 64.974, -9.999991743E+00
1690129486.0392323, 24.014, 37.5385, 64.963, -9.999986610E+00
1690129487.4578042, 23.998, 37.5393, 64.951, -9.999985331E+00
1690129488.876302, 24.009, 37.5397, 64.947, -9.999982093E+00
1690129490.2946339, 24.002, 37.5396, 64.933, -9.999977884E+00
1690129491.7131188, 23.994, 37.5402, 64.928, -9.999978792E+00
1690129493.131622, 23.989, 37.5401, 64.929, -9.999979219E+00
1690129494.5502021, 23.983, 37.5415, 64.924, -9.999972824E+00
1690129495.9684489, 23.98, 37.5419, 64.937, -9.999984082E+00
1690129497.386979, 23.972, 37.5426, 64.945, -9.999986684E+00
1690129498.8055341, 23.972, 37.5429, 64.962, -9.999979648E+00
1690129500.2240522, 23.969, 37.5429, 64.966, -9.999975313E+00
1690129501.6424046, 23.963, 37.5445, 64.981, -9.999984652E+00
1690129503.0608976, 23.959, 37.5445, 64.978, -9.999988732E+00
1690129504.4793289, 23.949, 37.5448, 64.974, -9.999989471E+00
1690129505.897879, 23.954, 37.546, 64.972, -9.999984695E+00
