t, ref_c, dmm_c, humidity, v
1690124980.1319954, 24.287, 29.5952, 59.603, 9.999978598E+00
1690124981.5503988, 24.283, 29.6023, 59.622, 9.999986328E+00
1690124982.9690166, 24.277, 29.6117, 59.635, 9.999989013E+00
1690124984.3875256, 24.27, 29.6193, 59.66, 9.999987467E+00
1690124985.8057451, 24.264, 29.628, 59.666, 9.999987867E+00
1690124987.2243567, 24.26, 29.6359, 59.686, 9.999988681E+00
1690124988.6428342, 24.26, 29.6449, 59.705, 9.999981488E+00
1690124990.0612352, 24.241, 29.6547, 59.724, 9.999991514E+00
1690124991.479722, 24.244, 29.6615, 59.733, 9.999981977E+00
1690124992.8982096, 24.236, 29.6713, 59.748, 9.999985303E+00
1690124994.316743, 24.227, 29.6786, 59.772, 9.999984653E+00
1690124995.735226, 24.224, 29.6872, 59.788, 9.999983676E+00
1690124997.153721, 24.213, 29.6952, 59.809, 9.999983139E+00
1690124998.5722106, 24.208, 29.7039, 59.821, 9.999986224E+00
1690124999.9905128, 24.199, 29.7128, 59.849, 9.999988812E+00
1690125001.409142, 24.204, 29.7197, 59.859, 9.999986994E+00
1690125002.8275986, 24.198, 29.729, 59.881, 9.999982589E+00
1690125004.2461712, 24.19, 29.7354, 59.892, 9.999992102E+00
1690125005.6647506, 24.181, 29.7448, 59.91, 9.999983064E+00
1690125007.0829384, 24.182, 29.7518, 59.922, 9.999986451E+00
1690125008.5014195, 24.173, 29.7603, 59.946, 9.999994372E+00
1690125009.9199085, 24.169, 29.7671, 59.953, 9.999993193E+00
1690125011.3384504, 24.178, 29.7755, 59.979, 9.999995712E+00
1690125012.7569532, 24.155, 29.7841, 59.991, 9.999977560E+00
1690125014.175312, 24.164, 29.7907, 60.001, 9.999988012E+00
1690125015.5938165, 24.152, 29.799, 60.016, 9.999982683E+00
1690125017.012331, 24.144, 29.806, 60.03, 9.999992368E+00
1690125018.4307172, 24.15, 29.8136, 60.044, 9.999982021E+00
1690125019.8491685, 24.146, 29.8205, 60.069, 9.999987981E+00
1690125021.2677581, 24.142, 29.8288, 60.08, 9.999993968E+00
1690125022.6862197, 24.141, 29.8368, 60.088, 9.999982554E+00
1690125024.1046202, 24.135, 29.8434, 60.099, 9.999976986E+00
1690125025.5230587, 24.129, 29.8508, 60.112, 9.999991633E+00
1690125026.9415364, 24.13, 29.8574, 60.127, 9.999990029E+00
1690125028.3598716, 24.138, 29.8649, 60.129, 9.999978871E+00
1690125029.7784507, 24.132, 29.8719, 60.144, 9.999993631E+00
1690125031.1968915, 24.132, 29.8802, 60.154, 9.999997145E+00
1690125032.6152146, 24.126, 29.8862, 60.16, 9.999992771E+00
1690125034.0337226, 24.126, 29.8941, 60.176, 9.999975541E+00
1690125035.4522424, 24.123, 29.9021, 60.185, 9.999988537E+00
1690125036.87075, 24.118, 29.9082, 60.192, 9.999987844E+00
1690125038.2891333, 24.115, 29.9157, 60.201, 9.999979160E+00
1690125039.707545, 24.116, 29.922, 60.206, 9.999990861E+00
1690125041.1260765, 24.097, 29.9306, 60.223, 9.999983728E+00
1690125042.5444212, 24.101, 29.9365, 60.239, 9.999973155E+00
1690125043.9631534, 24.103, 29.9451, 60.251, 9.999984390E+00
1690125045.3814645, 24.095, 29.9529, 60.257, 9.999988102E+00
