t, ref_c, dmm_c, humidity, v
1689038243.1632261, 24.567, 40.508, 52.271, 7.045661073E+00
1689038244.8728304, 24.571, 40.507, 52.292, 7.045666940E+00
1689038246.0002165, 24.559, 40.5076, 52.304, 7.045670192E+00
1689038247.4186428, 24.559, 40.5076, 52.315, 7.045668472E+00
1689038248.8372254, 24.555, 40.5075, 52.323, 7.045670125E+00
1689038250.2555137, 24.562, 40.5076, 52.335, 7.045667930E+00
1689038251.6741605, 24.559, 40.5081, 52.351, 7.045666872E+00
1689038253.0923724, 24.562, 40.5082, 52.362, 7.045666582E+00
1689038254.5109196, 24.561, 40.5085, 52.374, 7.045668918E+00
1689038255.9293892, 24.559, 40.5094, 52.382, 7.045669347E+00
1689038257.347714, 24.559, 40.509, 52.389, 7.045669636E+00
1689038258.7662005, 24.559, 40.5096, 52.401, 7.045670145E+00
1689038260.1847303, 24.545, 40.5107, 52.403, 7.045667833E+00
1689038261.6032286, 24.545, 40.5107, 52.415, 7.045668339E+00
1689038263.0215762, 24.549, 40.5105, 52.435, 7.045668775E+00
1689038264.440081, 24.541, 40.5103, 52.45, 7.045644289E+00
1689038265.8586087, 24.542, 40.511, 52.459, 7.045668578E+00
1689038267.2769353, 24.55, 40.5112, 52.475, 7.045667587E+00
1689038268.6954014, 24.55, 40.5115, 52.492, 7.045667544E+00
1689038270.1139197, 24.542, 40.5118, 52.508, 7.045668495E+00
1689038271.532281, 24.547, 40.5126, 52.522, 7.045668043E+00
1689038272.9507942, 24.542, 40.5122, 52.545, 7.045669187E+00
1689038274.3693528, 24.539, 40.5124, 52.551, 7.045608190E+00
1689038275.7876415, 24.544, 40.513, 52.576, 7.045666449E+00
1689038277.2064054, 24.541, 40.513, 52.592, 7.045668189E+00
1689038278.6246383, 24.544, 40.5134, 52.606, 7.045668096E+00
1689038280.0429685, 24.541, 40.5138, 52.618, 7.045668765E+00
1689038281.4615405, 24.547, 40.5132, 52.631, 7.045670272E+00
1689038282.8799655, 24.542, 40.5137, 52.647, 7.045669191E+00
1689038284.2985182, 24.541, 40.5132, 52.659, 7.045667690E+00
1689038285.7168305, 24.539, 40.514, 52.672, 7.045667531E+00
1689038287.1353831, 24.541, 40.5133, 52.672, 7.045666849E+00
1689038288.5538652, 24.552, 40.514, 52.68, 7.045666869E+00
1689038289.9724011, 24.533, 40.5135, 52.681, 7.045667408E+00
1689038291.3907754, 24.527, 40.5134, 52.681, 7.045667873E+00
1689038292.8092177, 24.535, 40.5138, 52.682, 7.045668173E+00
1689038294.2277281, 24.536, 40.5143, 52.68, 7.045668685E+00
1689038295.6462202, 24.529, 40.5139, 52.685, 7.045668798E+00
1689038297.0646055, 24.535, 40.5143, 52.683, 7.045667831E+00
1689038298.4830513, 24.535, 40.514, 52.689, 7.045669091E+00
1689038299.9015782, 24.522, 40.5142, 52.682, 7.045665811E+00
1689038301.32008, 24.535, 40.5142, 52.682, 7.045668123E+00
1689038302.7383914, 24.532, 40.5139, 52.692, 7.045668336E+00
1689038304.1569126, 24.519, 40.5139, 52.679, 7.045668113E+00
1689038305.5754244, 24.522, 40.5138, 52.684, 7.045667062E+00
1689038306.9937882, 24.526, 40.5138, 52.68, 7.045667944E+00
1689038308.4122598, 24.524, 40.5138, 52.68, 7.045667135E+00
1689038309.8308141, 24.533, 40.5138, 52.687, 7.045667654E+00
1689038311.2491324, 24.533, 40.5143, 52.692, 7.045668595E+00
1689038312.6676743, 24.527, 40.5139, 52.681, 7.045668033E+00
1689038314.0861335, 24.53, 40.5134, 52.681, 7.045667767E+00
1689038315.5046434, 24.526, 40.5135, 52.683, 7.045668047E+00
1689038316.9229755, 24.533, 40.5138, 52.682, 7.045668665E+00
1689038318.3414772, 24.53, 40.5139, 52.689, 7.045668845E+00
1689038319.7600064, 24.535, 40.5143, 52.698, 7.045669238E+00
1689038321.1783392, 24.524, 40.5138, 52.708, 7.045668849E+00
1689038322.596845, 24.529, 40.5138, 52.714, 7.045668140E+00
1689038324.0153542, 24.53, 40.5133, 52.721, 7.045668436E+00
1689038325.433677, 24.524, 40.5133, 52.729, 7.045668263E+00
1689038326.8522024, 24.53, 40.5137, 52.743, 7.045667774E+00
1689038328.2707422, 24.533, 40.5126, 52.744, 7.045669890E+00
1689038329.6890655, 24.529, 40.5131, 52.751, 7.045669045E+00
1689038331.1075659, 24.532, 40.5132, 52.762, 7.045667009E+00
1689038332.5260556, 24.527, 40.5133, 52.77, 7.045666836E+00
1689038333.9445696, 24.529, 40.5127, 52.782, 7.045670728E+00
1689038335.3629045, 24.529, 40.5131, 52.787, 7.045667718E+00
1689038336.7814457, 24.53, 40.5134, 52.798, 7.045669710E+00
1689038338.200001, 24.538, 40.513, 52.804, 7.045667155E+00
1689038339.6184564, 24.529, 40.5131, 52.812, 7.045667804E+00
1689038341.0367687, 24.535, 40.5125, 52.815, 7.045667801E+00
1689038342.4552681, 24.529, 40.5129, 52.828, 7.045669597E+00
1689038343.8736074, 24.539, 40.5129, 52.825, 7.045668752E+00
1689038345.2921255, 24.536, 40.5126, 52.841, 7.045669165E+00
1689038346.7106206, 24.536, 40.5129, 52.841, 7.045669178E+00
1689038348.1291244, 24.538, 40.5126, 52.854, 7.045669431E+00
1689038349.54746, 24.53, 40.5127, 52.855, 7.045669335E+00
1689038350.965976, 24.535, 40.5127, 52.858, 7.045667967E+00
1689038352.384507, 24.527, 40.5126, 52.867, 7.045668463E+00
1689038353.8028107, 24.526, 40.5131, 52.868, 7.045668566E+00
1689038355.221335, 24.538, 40.5127, 52.869, 7.045668510E+00
1689038356.6398373, 24.535, 40.5126, 52.876, 7.045669268E+00
1689038358.0583577, 24.547, 40.5125, 52.877, 7.045666826E+00
1689038359.476683, 24.536, 40.5125, 52.883, 7.045668899E+00
1689038360.8952756, 24.53, 40.5126, 52.883, 7.045666753E+00
1689038362.3137162, 24.541, 40.5122, 52.891, 7.045666810E+00
1689038363.7320626, 24.538, 40.5119, 52.888, 7.045669544E+00
1689038365.1505616, 24.532, 40.5126, 52.892, 7.045568079E+00
1689038366.569044, 24.533, 40.5123, 52.89, 7.045668696E+00
1689038367.9873967, 24.535, 40.5125, 52.898, 7.045667269E+00
1689038369.405888, 24.53, 40.5126, 52.908, 7.045669791E+00
1689038370.8244882, 24.542, 40.5123, 52.914, 7.045669288E+00
1689038372.2427623, 24.536, 40.5124, 52.913, 7.045668430E+00
1689038373.6612675, 24.53, 40.5119, 52.921, 7.045669754E+00
